Id,FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
0500000US01003,1003,"Baldwin County, Alabama",183195,159423,17230,855,1120,0
0500000US01015,1015,"Calhoun County, Alabama",118510,88213,25137,345,706,41
0500000US01043,1043,"Cullman County, Alabama",80459,76959,1207,331,75,0
0500000US01049,1049,"DeKalb County, Alabama",71151,64530,1232,793,0,22
0500000US01051,1051,"Elmore County, Alabama",79549,60656,15530,298,565,0
0500000US01055,1055,"Etowah County, Alabama",104462,86116,16553,611,336,0
0500000US01069,1069,"Houston County, Alabama",101888,71348,25787,345,979,0
0500000US01073,1073,"Jefferson County, Alabama",658555,353301,278496,1407,9387,0
0500000US01077,1077,"Lauderdale County, Alabama",92679,80704,8884,1174,733,0
0500000US01081,1081,"Lee County, Alabama",140780,102223,32688,219,3657,81
0500000US01083,1083,"Limestone County, Alabama",83193,67818,10935,614,956,0
0500000US01089,1089,"Madison County, Alabama",335988,233774,80207,2940,8147,230
0500000US01095,1095,"Marshall County, Alabama",93235,86786,1391,883,567,0
0500000US01097,1097,"Mobile County, Alabama",413277,250956,143819,4033,7745,53
0500000US01101,1101,"Montgomery County, Alabama",229844,91993,125222,571,4836,90
0500000US01103,1103,"Morgan County, Alabama",119626,100091,13910,1027,788,0
0500000US01117,1117,"Shelby County, Alabama",195828,162337,20884,489,3614,0
0500000US01125,1125,"Tuscaloosa County, Alabama",195036,130697,58303,47,1813,0
0500000US02020,2020,"Anchorage Municipality, Alaska",293227,195553,17874,21787,23986,6388
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",98314,76806,4128,7768,3059,426
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",89737,76690,788,4736,842,124
0500000US04001,4001,"Apache County, Arizona",71676,18053,63,52727,235,106
0500000US04003,4003,"Cochise County, Arizona",131789,109348,5400,1316,2304,422
0500000US04005,4005,"Coconino County, Arizona",134651,82278,1697,36230,2020,235
0500000US04013,4013,"Maricopa County, Arizona",3827371,3101274,196943,68963,129788,7510
0500000US04015,4015,"Mohave County, Arizona",200181,182870,1760,4771,2396,92
0500000US04017,4017,"Navajo County, Arizona",107551,55195,444,46269,322,578
0500000US04019,4019,"Pima County, Arizona",982154,793940,33858,31974,26043,1087
