FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
1003,"Baldwin County, Alabama",190790,164641,16807,989,1494,0
1015,"Calhoun County, Alabama",117296,88621,25058,406,911,0
1043,"Cullman County, Alabama",80440,77576,923,88,425,46
1049,"DeKalb County, Alabama",71080,66799,546,346,210,0
1051,"Elmore County, Alabama",80629,61181,16880,301,347,0
1055,"Etowah County, Alabama",104392,84874,15667,605,757,0
1069,"Houston County, Alabama",103402,72596,27353,229,869,0
1073,"Jefferson County, Alabama",660009,351439,281191,1197,10345,186
1077,"Lauderdale County, Alabama",92542,80685,9214,530,236,0
1081,"Lee County, Alabama",147257,103408,33585,479,4008,310
1083,"Limestone County, Alabama",87654,70756,10919,591,1087,0
1089,"Madison County, Alabama",343080,237507,84100,2583,7601,253
1095,"Marshall County, Alabama",94776,85900,1981,388,571,0
1097,"Mobile County, Alabama",413936,250701,145353,3490,8242,44
1101,"Montgomery County, Alabama",230149,91036,127199,148,5170,96
1103,"Morgan County, Alabama",120395,99002,14227,1216,596,0
1115,"St. Clair County, Alabama",85237,74768,7808,704,543,0
1117,"Shelby County, Alabama",200941,163056,22456,672,4458,74
1121,"Talladega County, Alabama",81762,52484,27837,289,135,0
1125,"Tuscaloosa County, Alabama",198596,133122,60393,368,2952,52
2020,"Anchorage Municipality, Alaska",298610,196090,18866,19165,27691,5977
2090,"Fairbanks North Star Borough, Alaska",100272,77771,4865,6443,2454,476
2170,"Matanuska-Susitna Borough, Alaska",93925,80020,932,5224,1314,137
4001,"Apache County, Arizona",73195,16846,245,53160,394,105
4003,"Cochise County, Arizona",132088,101432,6352,1273,1922,49
4005,"Coconino County, Arizona",136011,86250,2439,36848,2057,220
4013,"Maricopa County, Arizona",3942169,3172111,210034,73790,145155,7655
4015,"Mohave County, Arizona",203334,174551,2385,2228,2244,364
4017,"Navajo County, Arizona",107094,50237,847,46952,174,216
4019,"Pima County, Arizona",992394,770541,38493,30129,26525,1189
4021,"Pinal County, Arizona",387365,309024,18388,23437,6859,588
4025,"Yavapai County, Arizona",212637,194738,1425,4319,1974,0
4027,"Yuma County, Arizona",200022,152891,4053,2003,2506,1443
5007,"Benton County, Arkansas",232268,206022,2820,3222,7381,195
5031,"Craighead County, Arkansas",99735,82263,13844,191,1337,0
5045,"Faulkner County, Arkansas",118704,100880,13067,587,1872,46
5051,"Garland County, Arkansas",96903,81647,8270,556,835,0
5069,"Jefferson County, Arkansas",74723,31047,41544,34,594,0
5119,"Pulaski County, Arkansas",388953,231887,138962,1509,8787,0
5125,"Saline County, Arkansas",111845,101653,6237,187,985,0
5131,"Sebastian County, Arkansas",127304,104655,7712,2175,5710,238
5143,"Washington County, Arkansas",211411,164100,7639,1770,5314,4638
6001,"Alameda County, California",1554720,708878,184261,10634,415463,14201
6007,"Butte County, California",221539,188102,3425,1892,10111,153
6013,"Contra Costa County, California",1079597,678464,97624,6624,159292,5336
6017,"El Dorado County, California",180561,155511,1370,991,8152,0
6019,"Fresno County, California",947895,527535,49545,10638,93292,1304
6023,"Humboldt County, California",134827,111133,2240,6935,3904,412
6025,"Imperial County, California",176948,142527,5365,1100,2268,467
6029,"Kern County, California",856158,612061,47122,12047,40221,1679
6031,"Kings County, California",151364,105685,9792,1330,6110,44
6033,"Lake County, California",63983,51772,1683,1570,838,514
6037,"Los Angeles County, California",9962789,5321307,832875,44987,1384775,24486
6039,"Madera County, California",152218,122012,6016,2936,3247,165
6041,"Marin County, California",256069,205171,5897,1044,15555,261
6045,"Mendocino County, California",87428,72850,446,2976,1839,322
6047,"Merced County, California",262305,157661,9337,2839,20014,1016
6053,"Monterey County, California",426762,313397,12120,2304,27707,1967
6055,"Napa County, California",139045,105822,2988,776,10625,170
6057,"Nevada County, California",98292,91658,279,1056,1316,50
6059,"Orange County, California",3090132,1974285,46639,10899,575713,9490
6061,"Placer County, California",361682,304087,3967,1887,23918,199
6065,"Riverside County, California",2268783,1489846,140875,22967,133076,7005
6067,"Sacramento County, California",1450121,862619,145843,12869,217477,15183
6071,"San Bernardino County, California",2081313,1302587,185086,22260,136597,7259
6073,"San Diego County, California",3177063,2237694,163368,26541,364545,15737
