FIPS,County_State,Total,Male,Female,Under_5,Above_18,Above_65,MedAge_Total,MedAge_Male,MedAge_Female,
1003,"Baldwin County, Alabama",195540,94905,100635,5.4,77.3,18,40.9,40,42.2,
1015,"Calhoun County, Alabama",116736,56601,60135,5.8,77.8,15.4,37.6,35.8,38.2,
1043,"Cullman County, Alabama",80811,40215,40596,6.6,77.7,16.9,40.3,38.9,41.8,
1049,"DeKalb County, Alabama",71013,34982,36031,5,76.9,16.1,38.8,37.5,40.4,
1051,"Elmore County, Alabama",80902,39928,40974,5,77.1,13.5,38.5,37.2,39.3,
1055,"Etowah County, Alabama",103931,50344,53587,5.8,77.9,16.7,40.5,39.7,41.1,
1069,"Houston County, Alabama",103668,49901,53767,6.2,76,15.7,39.3,37.3,41.4,
1073,"Jefferson County, Alabama",659479,311972,347507,6.5,76.9,13.9,37.6,35.7,39.2,
1077,"Lauderdale County, Alabama",92797,44888,47909,4.6,79.9,17.9,41.6,39.3,43.7,
1081,"Lee County, Alabama",150933,74475,76458,6,78.1,9.9,30.5,29.4,31.6,
1083,"Limestone County, Alabama",88845,45042,43803,6.4,76.2,13.3,38.1,37.5,38.5,
1089,"Madison County, Alabama",346892,169325,177567,5.9,77.3,13.4,37.7,36.4,38.8,
1095,"Marshall County, Alabama",94760,45644,49116,6.7,75.4,15.9,39.3,38.7,39.5,
1097,"Mobile County, Alabama",414079,198492,215587,6.6,75.9,14.2,37,35.7,38.2,
1101,"Montgomery County, Alabama",226659,107820,118839,6.9,75.8,13,35.1,33.8,36.6,
1103,"Morgan County, Alabama",119787,58728,61059,6.7,76.8,15.6,39.1,36.6,42,
1115,"St. Clair County, Alabama",86308,43141,43167,6.7,77.2,14.1,39.4,37.4,41.4,
1117,"Shelby County, Alabama",204180,99787,104393,5.5,75.1,12.5,38,37.3,38.8,
1121,"Talladega County, Alabama",81096,40020,41076,5.5,77.9,15.6,40.4,38.9,41.6,
1125,"Tuscaloosa County, Alabama",200821,97451,103370,6,78.9,11.4,31.5,30.4,32.9,
