FIPS,County_State,Male,Female,Under_5,Above_18,Above_65,MedAge_Total,MedAge_Male,MedAge_Female
1003,"Baldwin County, Alabama",100230,103479,4.9,78,19.6,42.6,41.1,44.1
1015,"Calhoun County, Alabama",55821,59799,5.3,77.9,16,40,38.8,40.4
1043,"Cullman County, Alabama",40271,41734,5.9,77.6,18,39.9,39,40.9
1049,"DeKalb County, Alabama",35087,36043,6.1,74.7,15.4,38.3,37.3,39.2
1051,"Elmore County, Alabama",39416,42052,5.6,76.8,14.1,38.4,38.1,39
1055,"Etowah County, Alabama",49882,53175,5.5,78.1,17.6,41.3,39.7,42.2
1069,"Houston County, Alabama",49975,54198,6,76.4,16.3,40.1,37.2,41.6
1073,"Jefferson County, Alabama",312183,348184,6.5,76.9,14.6,37.3,35.9,38.8
1077,"Lauderdale County, Alabama",44598,47998,5.1,79.8,18.8,42.4,40.1,43.8
1081,"Lee County, Alabama",76952,80041,5.7,78.6,10.7,31.6,30.9,32.2
1083,"Limestone County, Alabama",45477,46186,5.4,76.6,14.5,39.8,38.5,40.5
1089,"Madison County, Alabama",172607,180482,5.8,77.7,14,38.5,36.6,40.2
1095,"Marshall County, Alabama",46639,48086,6.5,75.4,17.3,39.5,38.4,40.4
1097,"Mobile County, Alabama",197405,217990,6.6,76.1,14.8,37.5,36.3,38.4
1101,"Montgomery County, Alabama",107826,118693,6.5,76.1,13.5,35.7,33.4,37.8
1103,"Morgan County, Alabama",59571,59994,5.9,76.9,16.4,40.1,38.6,42.4
1115,"St. Clair County, Alabama",42812,44262,5.5,76.6,16,40.8,40.7,40.9
1117,"Shelby County, Alabama",100997,107716,5.9,75.9,13.3,38.2,37.8,39
1121,"Talladega County, Alabama",39185,41677,5.5,77.9,16.5,41.6,40.5,42.3
1125,"Tuscaloosa County, Alabama",98030,105946,6,79.1,11.9,32.4,30.7,33.6
1127,"Walker County, Alabama",31024,34270,6.5,77.4,18.5,42.1,41.3,42.9
2020,"Anchorage Municipality, Alaska",152945,145750,7.7,75.2,9.2,32.2,31.4,33
2090,"Fairbanks North Star Borough, Alaska",54872,44759,7.2,75.8,7.9,30.5,28.4,32.8
2170,"Matanuska-Susitna Borough, Alaska",53394,47701,7,72.7,9.7,34.4,33.9,35.2
4001,"Apache County, Arizona",35099,36375,8.6,71.1,13.7,33.8,32.9,34.7
4003,"Cochise County, Arizona",62976,63451,6,78.6,21.4,42.1,40,45.1
4005,"Coconino County, Arizona",67799,71298,5.7,79,11.6,30.6,30.8,30.4
4013,"Maricopa County, Arizona",2059938,2108009,6.5,75.3,14.2,36.1,35,37.3
4015,"Mohave County, Arizona",102701,102036,4.5,81.7,27.5,50.1,49.2,51.5
4017,"Navajo County, Arizona",54361,53916,7.3,72.6,16.3,36.2,34.9,38.3
4019,"Pima County, Arizona",495866,514159,5.9,78.3,18.4,38.4,36.8,40.2
4021,"Pinal County, Arizona",211383,195201,5.9,76.2,19.2,38.5,37.2,40.1
4025,"Yavapai County, Arizona",108627,113628,4.2,83,28.9,52.3,51.1,54
4027,"Yuma County, Arizona",104987,99288,7.3,74.2,18.1,34.5,32.8,37
5007,"Benton County, Arkansas",124229,125443,7,73.2,13.1,35.5,34.6,36.4
5031,"Craighead County, Arkansas",51056,53298,6.7,75.3,12.6,34.2,32.3,36.4
5045,"Faulkner County, Arkansas",59843,61709,6.1,76.3,11.6,32.4,31.7,32.7
5051,"Garland County, Arkansas",47143,50034,5.3,79.7,21.8,45.1,43.7,46.5
5069,"Jefferson County, Arkansas",35500,36065,6.2,76.8,15.5,38.6,35.4,40.7
5085,"Lonoke County, Arkansas",35262,36383,7.2,73.7,12.8,36.1,35.2,36.5
5119,"Pulaski County, Arkansas",188069,204595,6.9,76.5,14,36.8,35.3,38.3
5125,"Saline County, Arkansas",56954,60506,6.5,76.2,17.3,38.2,38.4,37.8
5131,"Sebastian County, Arkansas",63064,64716,6.9,75.7,15,36.9,35.5,39.7
5143,"Washington County, Arkansas",110875,114602,7.5,75,11.2,31.3,31.1,31.6
5145,"White County, Arkansas",39004,40157,6.3,76.2,15.2,35.5,34.3,37.3
6001,"Alameda County, California",803485,834730,6,78.9,12.7,37.4,36.5,38.4
6007,"Butte County, California",111540,113871,5.4,79.9,17.4,37.2,35.5,38.7
6013,"Contra Costa County, California",550107,576638,5.8,76.8,14.6,39.5,38,40.7
6017,"El Dorado County, California",92422,92030,3.9,79.5,19.1,45.4,44.6,45.8
6019,"Fresno County, California",487055,487806,8.2,71.4,11.5,31.8,30.9,33
6023,"Humboldt County, California",67375,68352,5.3,80.5,16.1,37.4,37.1,37.8
6025,"Imperial County, California",91836,88355,8.3,71.7,12.6,32.6,31.3,33.8
6029,"Kern County, California",452437,429739,8.2,70.8,10.1,31.4,30.9,32
6031,"Kings County, California",83916,67049,7.8,72.6,9.5,31.8,31.8,31.7
6033,"Lake County, California",33045,31546,5.7,79.4,21.5,44.9,44.1,45.7
6037,"Los Angeles County, California",5009327,5160965,6.3,77.6,12.6,36.1,35,37.3
6039,"Madera County, California",74284,80714,7.3,72.8,13.2,34.3,33.4,35.1
6041,"Marin County, California",126827,134394,4.9,79.5,20.2,46.1,44.5,47.5
6045,"Mendocino County, California",44158,43491,5.7,78.7,19.7,43.1,40.8,45.3
6047,"Merced County, California",135493,132962,7.7,70.1,10.8,30.6,30.1,31.1
6053,"Monterey County, California",220347,213551,7.7,73.7,12.4,34,33.4,34.6
6055,"Napa County, California",70773,71683,5.4,78.5,17.8,40.1,38.2,42
6057,"Nevada County, California",48034,50843,4.9,82.3,24,50,47.5,51.8
6059,"Orange County, California",1566017,1603759,6,77.4,13.6,37.8,36.4,39
6061,"Placer County, California",183496,191895,5.3,77.4,18.4,41.8,40.5,43.3
6065,"Riverside County, California",1174625,1186401,6.6,74,13.5,35.1,34.1,36.1
6067,"Sacramento County, California",734146,767189,6.6,75.9,13.2,36,34.6,37.2
6071,"San Bernardino County, California",1059374,1068759,7.2,73.2,10.7,33,31.9,34.1
6073,"San Diego County, California",1657609,1641912,6.5,77.9,13.1,35.5,34.2,36.8
