FIPS,Geography,Total,White,Black,AmInd_Alaska,Asian,PacIsl
1003,"Baldwin County, Alabama",203709,174923,23049,1917,303,0
1015,"Calhoun County, Alabama",115620,86053,22709,176,1229,0
1043,"Cullman County, Alabama",82005,80309,475,99,218,0
1049,"DeKalb County, Alabama",71130,60748,1274,541,146,2319
1051,"Elmore County, Alabama",81468,61760,17971,7,207,0
1069,"Houston County, Alabama",104173,72292,27689,309,880,140
1073,"Jefferson County, Alabama",660367,345005,282511,1260,10861,711
1077,"Lauderdale County, Alabama",92596,80447,9741,462,492,0
1081,"Lee County, Alabama",156993,110378,36539,231,5714,0
1083,"Limestone County, Alabama",91663,73933,12229,839,1155,0
1089,"Madison County, Alabama",353089,243431,85184,1755,8967,344
1095,"Marshall County, Alabama",94725,88843,2604,213,46,73
1097,"Mobile County, Alabama",415395,246791,145156,3371,8444,0
1101,"Montgomery County, Alabama",226519,86467,128205,273,4930,100
1103,"Morgan County, Alabama",119565,99867,15507,276,1056,29
1115,"St. Clair County, Alabama",87074,75170,8725,215,827,0
1117,"Shelby County, Alabama",208713,167146,25871,455,4540,118
1125,"Tuscaloosa County, Alabama",203976,133226,63340,288,2904,275
2020,"Anchorage Municipality, Alaska",298695,188025,18385,19466,29106,5556
2090,"Fairbanks North Star Borough, Alaska",99631,75321,4427,6741,2886,96
2170,"Matanuska-Susitna Borough, Alaska",101095,83939,1275,4661,1383,291
4003,"Cochise County, Arizona",126427,106336,5812,1130,2729,194
4005,"Coconino County, Arizona",139097,88124,1772,37506,2582,183
4013,"Maricopa County, Arizona",4167947,3257173,228439,80471,166727,8245
4015,"Mohave County, Arizona",204737,184801,2453,5760,2743,130
4017,"Navajo County, Arizona",108277,51800,1107,47730,674,0
4019,"Pima County, Arizona",1010025,776470,36666,37188,29545,1374
4021,"Pinal County, Arizona",406584,314363,17831,21601,6433,587
4025,"Yavapai County, Arizona",222255,204325,1082,3586,2243,297
4027,"Yuma County, Arizona",204275,153529,4512,3259,2723,198
5007,"Benton County, Arkansas",249672,219875,4698,3121,8876,1003
5031,"Craighead County, Arkansas",104354,82830,13170,1473,1373,0
5045,"Faulkner County, Arkansas",121552,100842,13615,436,1863,0
5051,"Garland County, Arkansas",97177,84540,7660,395,479,0
5085,"Lonoke County, Arkansas",71645,63099,4248,603,469,260
5119,"Pulaski County, Arkansas",392664,226517,143424,1543,9264,141
5125,"Saline County, Arkansas",117460,105327,8105,497,1683,121
5131,"Sebastian County, Arkansas",127780,101037,9701,1739,5331,0
5143,"Washington County, Arkansas",225477,176924,8076,1238,5454,5059
6001,"Alameda County, California",1638215,701135,180957,10588,474507,14524
6007,"Butte County, California",225411,186531,2581,3154,10559,331
6013,"Contra Costa County, California",1126745,639657,100354,6112,182666,6127
6017,"El Dorado County, California",184452,162276,1472,1608,7301,199
6019,"Fresno County, California",974861,630159,46705,9346,99606,1950
6023,"Humboldt County, California",135727,108203,1712,6951,4475,97
6025,"Imperial County, California",180191,126599,5113,2557,3377,104
6029,"Kern County, California",882176,684691,50286,7248,40891,2185
6031,"Kings County, California",150965,99811,9167,2316,7163,754
6033,"Lake County, California",64591,50558,1005,2395,483,230
6037,"Los Angeles County, California",10170292,5285352,836460,71427,1471602,29126
6039,"Madera County, California",154998,126455,4938,1446,2886,126
6041,"Marin County, California",261221,202246,6976,961,15065,1062
6045,"Mendocino County, California",87649,74078,453,4243,2373,159
6047,"Merced County, California",268455,154331,8873,1519,19689,660
6053,"Monterey County, California",433898,287032,10672,3036,24390,2048
6055,"Napa County, California",142456,97452,2941,1115,12061,294
6057,"Nevada County, California",98877,90475,660,2498,1448,82
6059,"Orange County, California",3169776,1982432,53969,14049,622001,10388
6061,"Placer County, California",375391,307761,7119,1442,26067,800
6065,"Riverside County, California",2361026,1485957,148768,18900,149939,6616
6067,"Sacramento County, California",1501335,897925,147797,8889,233519,16679
6071,"San Bernardino County, California",2128133,1303554,177777,15455,149602,6867
6073,"San Diego County, California",3299521,2335380,168575,17356,387324,14434
6075,"San Francisco County, California",864816,409361,44843,2945,301034,3769
6077,"San Joaquin County, California",726106,418597,48452,3606,110506,2624
6079,"San Luis Obispo County, California",281401,237929,5614,2132,10000,569
6081,"San Mateo County, California",765135,389719,18283,2314,213204,10614
6083,"Santa Barbara County, California",444769,350900,9359,3294,25156,564
6085,"Santa Clara County, California",1918044,869075,47419,8435,667182,9210
6087,"Santa Cruz County, California",274146,210341,2288,1985,12048,268
6089,"Shasta County, California",179533,155875,2539,4791,6066,34
6095,"Solano County, California",436092,233286,61550,2367,67196,3673
6097,"Sonoma County, California",502146,384475,7678,4403,19128,1061
6099,"Stanislaus County, California",538388,407401,14771,3860,30326,4218
6101,"Sutter County, California",96463,67966,1053,939,15125,362
6107,"Tulare County, California",459863,360593,6744,5240,16117,828
6111,"Ventura County, California",850536,686076,14338,8213,62400,2044
6113,"Yolo County, California",213016,140351,5669,809,29518,606
6115,"Yuba County, California",74492,52039,2375,504,5994,164
8001,"Adams County, Colorado",491337,409072,15769,6146,18115,533
8005,"Arapahoe County, Colorado",631096,452681,64427,3056,34741,1413
8013,"Boulder County, Colorado",319372,286798,2038,1203,14486,92
8014,"Broomfield County, Colorado",65065,56289,564,43,4476,0
8031,"Denver County, Colorado",682545,526428,64692,6897,23327,474
8035,"Douglas County, Colorado",322387,287318,4276,1105,13399,833
8041,"El Paso County, Colorado",674471,533295,45088,3949,19828,2813
8059,"Jefferson County, Colorado",565524,511780,6755,3493,15012,210
8069,"Larimer County, Colorado",333577,306923,3553,1448,6946,391
8077,"Mesa County, Colorado",148513,140608,1338,294,739,1178
8101,"Pueblo County, Colorado",163591,128052,3707,7643,1905,0
8123,"Weld County, Colorado",285174,260541,2742,3076,4172,61
9001,"Fairfield County, Connecticut",948053,698939,110503,1120,48626,405
9003,"Hartford County, Connecticut",895841,643989,124104,2820,43178,0
9005,"Litchfield County, Connecticut",183603,171527,2936,373,3548,68
9007,"Middlesex County, Connecticut",164063,145227,8151,0,4775,0
9009,"New Haven County, Connecticut",859470,633320,112785,1794,36649,0
9011,"New London County, Connecticut",271863,217247,15220,1471,10957,0
9013,"Tolland County, Connecticut",151420,133224,4918,93,7032,0
9015,"Windham County, Connecticut",116573,104470,1954,1222,1484,46
10001,"Kent County, Delaware",173533,115814,43223,876,3441,174
10003,"New Castle County, Delaware",556779,361425,135042,1322,29976,160
10005,"Sussex County, Delaware",215622,177665,25598,923,2697,0
11001,"District of Columbia, District of Columbia",672228,269143,318831,1661,25944,475
12001,"Alachua County, Florida",259964,182337,51528,1124,16280,136
12005,"Bay County, Florida",181635,148553,20346,509,4365,0
12009,"Brevard County, Florida",568088,471430,57147,1984,12952,995
12011,"Broward County, Florida",1896425,1162981,540465,3816,67759,988
12015,"Charlotte County, Florida",173115,155857,9820,799,2183,0
12017,"Citrus County, Florida",141058,131809,4043,331,2301,0
12019,"Clay County, Florida",203967,164663,21303,254,6792,340
12021,"Collier County, Florida",357305,319302,25156,725,4034,0
12023,"Columbia County, Florida",68348,52746,12512,133,832,0
12031,"Duval County, Florida",913010,557785,270079,1327,42063,1121
12033,"Escambia County, Florida",311003,212859,65122,836,7825,296
12035,"Flagler County, Florida",105392,86837,11378,325,2360,0
12053,"Hernando County, Florida",178439,158976,9660,160,2204,121
12055,"Highlands County, Florida",99491,78734,9886,142,1163,0
12057,"Hillsborough County, Florida",1349050,945613,223120,3641,52592,875
12061,"Indian River County, Florida",147919,129463,13365,6,1862,0
12069,"Lake County, Florida",325875,273431,32429,1166,5719,0
12071,"Lee County, Florida",701982,600765,61326,462,11120,280
12073,"Leon County, Florida",286272,177414,88471,673,9430,101
12081,"Manatee County, Florida",363369,313730,33227,174,7645,56
12083,"Marion County, Florida",343254,281114,45593,494,5893,326
12085,"Martin County, Florida",156283,137868,9010,595,2413,0
12086,"Miami-Dade County, Florida",2693117,2032881,495903,1741,42970,310
12087,"Monroe County, Florida",77482,69180,5711,110,521,0
12091,"Okaloosa County, Florida",198664,158059,21964,307,5259,0
12095,"Orange County, Florida",1288126,829874,263369,2783,68409,1617
12097,"Osceola County, Florida",323993,234791,36530,1274,8414,340
12099,"Palm Beach County, Florida",1422789,1052547,259040,2400,36883,339
12101,"Pasco County, Florida",497909,438341,27792,2548,12256,405
12103,"Pinellas County, Florida",949827,781900,97404,2801,32986,871
12105,"Polk County, Florida",650092,510686,98182,1953,11084,267
12107,"Putnam County, Florida",72023,57777,12485,130,369,0
12109,"St. Johns County, Florida",226640,199165,13284,947,7032,0
12111,"St. Lucie County, Florida",298563,219571,57621,1797,6434,0
12113,"Santa Rosa County, Florida",167040,141407,8081,601,3159,271
12115,"Sarasota County, Florida",405549,371156,20147,418,5799,70
12117,"Seminole County, Florida",449144,354278,52300,977,19083,381
12119,"Sumter County, Florida",118891,109243,6147,573,161,0
12127,"Volusia County, Florida",517887,433560,56739,1210,9120,477
