FIPS,County_State,Total,Male,Female,Under_5
1003,"Baldwin County, Alabama",190790,93581,97209,10771
1015,"Calhoun County, Alabama",117296,56142,61154,7126
1043,"Cullman County, Alabama",80440,40185,40255,4711
1049,"DeKalb County, Alabama",71080,34955,36125,3487
1051,"Elmore County, Alabama",80629,38982,41647,5017
1055,"Etowah County, Alabama",104392,50016,54376,5985
1069,"Houston County, Alabama",103402,49292,54110,7042
1073,"Jefferson County, Alabama",660009,311696,348313,45525
1077,"Lauderdale County, Alabama",92542,44191,48351,5390
1081,"Lee County, Alabama",147257,72191,75066,8795
1083,"Limestone County, Alabama",87654,43754,43900,5324
1089,"Madison County, Alabama",343080,168763,174317,20463
1095,"Marshall County, Alabama",94776,46062,48714,6643
1097,"Mobile County, Alabama",413936,198264,215672,27969
1101,"Montgomery County, Alabama",230149,109089,121060,16232
1103,"Morgan County, Alabama",120395,58962,61433,7512
1115,"St. Clair County, Alabama",85237,42991,42246,5045
1117,"Shelby County, Alabama",200941,98121,102820,12651
1121,"Talladega County, Alabama",81762,39822,41940,4846
1125,"Tuscaloosa County, Alabama",198596,96270,102326,11973
1127,"Walker County, Alabama",66221,32033,34188,3795
2020,"Anchorage Municipality, Alaska",298610,151752,146858,22059
2090,"Fairbanks North Star Borough, Alaska",100272,53011,47261,7550
2170,"Matanuska-Susitna Borough, Alaska",93925,48480,45445,6533
4001,"Apache County, Arizona",73195,36337,36858,6019
4003,"Cochise County, Arizona",132088,67821,64267,7866
4005,"Coconino County, Arizona",136011,67187,68824,8355
4013,"Maricopa County, Arizona",3942169,1950229,1991940,274159
4015,"Mohave County, Arizona",203334,102141,101193,10145
4017,"Navajo County, Arizona",107094,54016,53078,8261
4019,"Pima County, Arizona",992394,488848,503546,60751
4021,"Pinal County, Arizona",387365,203470,183895,26312
4025,"Yavapai County, Arizona",212637,104052,108585,9600
4027,"Yuma County, Arizona",200022,101245,98777,15002
5007,"Benton County, Arkansas",232268,114536,117732,17055
5031,"Craighead County, Arkansas",99735,48756,50979,7496
5045,"Faulkner County, Arkansas",118704,59153,59551,8288
5051,"Garland County, Arkansas",96903,46618,50285,4459
5069,"Jefferson County, Arkansas",74723,36576,38147,4509
5085,"Lonoke County, Arkansas",69839,34452,35387,4905
5119,"Pulaski County, Arkansas",388953,186689,202264,27087
5125,"Saline County, Arkansas",111845,55380,56465,6894
5131,"Sebastian County, Arkansas",127304,62891,64413,8855
5143,"Washington County, Arkansas",211411,104734,106677,15448
5145,"White County, Arkansas",78493,37964,40529,4886
6001,"Alameda County, California",1554720,762552,792168,98578
6007,"Butte County, California",221539,110594,110945,11817
6013,"Contra Costa County, California",1079597,527504,552093,66165
6017,"El Dorado County, California",180561,90551,90010,8071
6019,"Fresno County, California",947895,473298,474597,79429
6023,"Humboldt County, California",134827,67616,67211,7297
6025,"Imperial County, California",176948,91945,85003,14301
6029,"Kern County, California",856158,439678,416480,73935
6031,"Kings County, California",151364,84124,67240,12112
6033,"Lake County, California",63983,33034,30949,3441
6037,"Los Angeles County, California",9962789,4913397,5049392,650477
6039,"Madera County, California",152218,73122,79096,12064
6041,"Marin County, California",256069,124352,131717,13636
6045,"Mendocino County, California",87428,43667,43761,5030
6047,"Merced County, California",262305,132891,129414,21777
6053,"Monterey County, California",426762,219690,207072,33847
6055,"Napa County, California",139045,68873,70172,7939
6057,"Nevada County, California",98292,49110,49182,4297
6059,"Orange County, California",3090132,1527886,1562246,194534
6061,"Placer County, California",361682,177580,184102,20133
6065,"Riverside County, California",2268783,1129796,1138987,162778
6067,"Sacramento County, California",1450121,709996,740125,99947
6071,"San Bernardino County, California",2081313,1035344,1045969,158398
6073,"San Diego County, California",3177063,1596686,1580377,208721
6075,"San Francisco County, California",825863,419784,406079,37043
6077,"San Joaquin County, California",702612,348986,353626,54191
6079,"San Luis Obispo County, California",274804,138972,135832,13062
6081,"San Mateo County, California",739311,364079,375232,45864
6083,"Santa Barbara County, California",431249,216658,214591,28104
6085,"Santa Clara County, California",1837504,923803,913701,123635
6087,"Santa Cruz County, California",266776,132544,134232,15072
6089,"Shasta County, California",178586,88736,89850,9867
6095,"Solano County, California",420757,209423,211334,26435
6097,"Sonoma County, California",491829,241524,250305,27649
6099,"Stanislaus County, California",521726,257193,264533,39416
6101,"Sutter County, California",95022,47191,47831,6844
6107,"Tulare County, California",451977,227060,224917,40949
6111,"Ventura County, California",835981,415367,420614,54943
6113,"Yolo County, California",204118,100050,104068,11587
6115,"Yuba County, California",72926,36405,36521,6212
8001,"Adams County, Colorado",459598,230959,228639,37176
8005,"Arapahoe County, Colorado",595546,292644,302902,40142
8013,"Boulder County, Colorado",305318,153777,151541,15924
8031,"Denver County, Colorado",634265,317233,317032,46794
8035,"Douglas County, Colorado",298215,148183,150032,19828
8041,"El Paso County, Colorado",644964,323468,321496,45143
8059,"Jefferson County, Colorado",545358,271049,274309,28784
8069,"Larimer County, Colorado",310487,154450,156037,16734
8077,"Mesa County, Colorado",147848,74858,72990,9288
8101,"Pueblo County, Colorado",160852,78865,81987,10228
8123,"Weld County, Colorado",263691,131970,131721,20302
9001,"Fairfield County, Connecticut",933835,455046,478789,55061
9003,"Hartford County, Connecticut",897259,434646,462613,49354
9005,"Litchfield County, Connecticut",187530,92847,94683,8610
9007,"Middlesex County, Connecticut",165602,79732,85870,7668
9009,"New Haven County, Connecticut",862813,416390,446423,46647
9011,"New London County, Connecticut",274170,137078,137092,14017
9013,"Tolland County, Connecticut",151539,75590,75949,5816
9015,"Windham County, Connecticut",117599,58477,59122,5897
10001,"Kent County, Delaware",167626,81197,86429,11217
10003,"New Castle County, Delaware",546076,264659,281417,33359
10005,"Sussex County, Delaware",203390,98835,104555,11609
11001,"District of Columbia, District of Columbia",632323,299036,333287,39002
12001,"Alachua County, Florida",251417,122253,129164,13652
12005,"Bay County, Florida",171903,84951,86952,10335
12009,"Brevard County, Florida",547307,267809,279498,25784
12011,"Broward County, Florida",1815137,881782,933355,104222
12015,"Charlotte County, Florida",162449,78921,83528,5161
12017,"Citrus County, Florida",139360,65638,73722,4762
12019,"Clay County, Florida",194345,96039,98306,11014
12021,"Collier County, Florida",332427,163540,168887,16874
12023,"Columbia County, Florida",67966,35374,32592,3939
12031,"Duval County, Florida",879602,426691,452911,60023
12033,"Escambia County, Florida",302715,150190,152525,18467
12035,"Flagler County, Florida",98359,46366,51993,3893
12053,"Hernando County, Florida",173422,83092,90330,7939
12055,"Highlands County, Florida",98128,46687,51441,4801
12057,"Hillsborough County, Florida",1277746,624242,653504,82043
12061,"Indian River County, Florida",140567,66941,73626,7015
12069,"Lake County, Florida",303186,146695,156491,15730
12071,"Lee County, Florida",645293,316953,328340,33083
12073,"Leon County, Florida",283769,135303,148466,14741
12081,"Manatee County, Florida",333895,161621,172274,17925
12083,"Marion County, Florida",335125,161203,173922,16834
12085,"Martin County, Florida",148817,72850,75967,6131
12086,"Miami-Dade County, Florida",2591035,1258234,1332801,152871
12087,"Monroe County, Florida",74809,39952,34857,3202
12089,"Nassau County, Florida",74629,36940,37689,3787
12091,"Okaloosa County, Florida",190083,95655,94428,12715
12095,"Orange County, Florida",1202234,592087,610147,75743
12097,"Osceola County, Florida",287416,142450,144966,18200
12099,"Palm Beach County, Florida",1356545,656209,700336,70363
12101,"Pasco County, Florida",470391,229474,240917,24546
12103,"Pinellas County, Florida",921319,441894,479425,42110
12105,"Polk County, Florida",616158,301825,314333,37850
12107,"Putnam County, Florida",73263,36281,36982,4508
12109,"St. Johns County, Florida",202188,97377,104811,9872
12111,"St. Lucie County, Florida",283866,138045,145821,16334
12113,"Santa Rosa County, Florida",158512,80588,77924,9364
12115,"Sarasota County, Florida",386147,183290,202857,14673
12117,"Seminole County, Florida",430838,208717,222121,22494
12119,"Sumter County, Florida",101620,52430,49190,2162
12127,"Volusia County, Florida",496950,242013,254937,23637
13013,"Barrow County, Georgia",70169,35240,34929,5243
13015,"Bartow County, Georgia",100661,50700,49961,6653
13021,"Bibb County, Georgia",156462,73947,82515,11526
13031,"Bulloch County, Georgia",72694,36241,36453,3773
13045,"Carroll County, Georgia",111580,54339,57241,8365
13047,"Catoosa County, Georgia",65046,31545,33501,3358
13051,"Chatham County, Georgia",276434,133782,142652,19455
13057,"Cherokee County, Georgia",221315,109834,111481,14515
13059,"Clarke County, Georgia",120266,56246,64020,7125
13063,"Clayton County, Georgia",265888,126170,139718,21605
13067,"Cobb County, Georgia",707442,343467,363975,47585
13073,"Columbia County, Georgia",131627,63749,67878,9088
13077,"Coweta County, Georgia",130929,64591,66338,8839
13089,"DeKalb County, Georgia",707089,338657,368432,52267
13095,"Dougherty County, Georgia",94501,44221,50280,7151
13097,"Douglas County, Georgia",133971,63958,70013,9371
13113,"Fayette County, Georgia",107524,51742,55782,4546
13115,"Floyd County, Georgia",96177,46423,49754,6290
13117,"Forsyth County, Georgia",187928,93023,94905,12752
13121,"Fulton County, Georgia",977773,477609,500164,64745
13127,"Glynn County, Georgia",81022,39381,41641,5238
13135,"Gwinnett County, Georgia",842046,414027,428019,61649
13139,"Hall County, Georgia",185416,93540,91876,13643
13151,"Henry County, Georgia",209053,100218,108835,13144
13153,"Houston County, Georgia",146136,70387,75749,9835
13179,"Liberty County, Georgia",65471,32653,32818,6936
13185,"Lowndes County, Georgia",114552,56524,58028,8038
13215,"Muscogee County, Georgia",198413,97554,100859,14964
13217,"Newton County, Georgia",101505,48786,52719,6836
13223,"Paulding County, Georgia",144800,70806,73994,10630
13245,"Richmond County, Georgia",202587,98251,104336,15156
13247,"Rockdale County, Georgia",85820,40196,45624,5329
13285,"Troup County, Georgia",68468,33369,35099,4926
13295,"Walker County, Georgia",68094,33643,34451,3869
13297,"Walton County, Georgia",84575,39855,44720,4834
13313,"Whitfield County, Georgia",103359,52056,51303,7950
15001,"Hawaii County, Hawaii",189191,95040,94151,11908
15003,"Honolulu County, Hawaii",976372,492228,484144,62694
15007,"Kauai County, Hawaii",68434,34515,33919,4383
15009,"Maui County, Hawaii",158226,79365,78861,10028
16001,"Ada County, Idaho",409061,205321,203740,26347
16005,"Bannock County, Idaho",83800,42175,41625,6388
16019,"Bonneville County, Idaho",106684,53119,53565,9846
16027,"Canyon County, Idaho",193888,96020,97868,16019
16055,"Kootenai County, Idaho",142357,70246,72111,8910
16083,"Twin Falls County, Idaho",78595,38291,40304,5836
17001,"Adams County, Illinois",67197,32630,34567,3792
17019,"Champaign County, Illinois",203276,101451,101825,11396
17031,"Cook County, Illinois",5231351,2535122,2696229,343993
17037,"DeKalb County, Illinois",104704,50969,53735,6098
17043,"DuPage County, Illinois",927987,455004,472983,55207
17089,"Kane County, Illinois",522487,260218,262269,38031
17091,"Kankakee County, Illinois",113040,55409,57631,7151
17093,"Kendall County, Illinois",118105,59521,58584,9055
17097,"Lake County, Illinois",702120,350491,351629,44500
17099,"LaSalle County, Illinois",112973,56571,56402,6162
17111,"McHenry County, Illinois",308145,152783,155362,17758
17113,"McLean County, Illinois",172281,83428,88853,10268
17115,"Macon County, Illinois",110122,53259,56863,6982
17119,"Madison County, Illinois",267883,131150,136733,15744
17143,"Peoria County, Illinois",187254,90400,96854,12547
17161,"Rock Island County, Illinois",147457,72257,75200,9349
17163,"St. Clair County, Illinois",268858,129829,139029,18228
17167,"Sangamon County, Illinois",199271,96173,103098,12005
17179,"Tazewell County, Illinois",135949,67084,68865,8105
17183,"Vermilion County, Illinois",80727,40028,40699,5308
17197,"Will County, Illinois",682518,338972,343546,45188
17199,"Williamson County, Illinois",66674,33019,33655,3876
17201,"Winnebago County, Illinois",292069,142598,149471,18936
18003,"Allen County, Indiana",360412,175692,184720,26269
18005,"Bartholomew County, Indiana",79129,38438,40691,5217
18019,"Clark County, Indiana",111951,53762,58189,7028
18035,"Delaware County, Indiana",117364,55703,61661,6379
18039,"Elkhart County, Indiana",199619,99010,100609,15463
18043,"Floyd County, Indiana",75283,36508,38775,4412
18053,"Grant County, Indiana",69330,34124,35206,3914
18057,"Hamilton County, Indiana",289495,140222,149273,20892
18059,"Hancock County, Indiana",70933,34683,36250,4395
18063,"Hendricks County, Indiana",150434,75587,74847,9210
18067,"Howard County, Indiana",82849,39753,43096,4999
18081,"Johnson County, Indiana",143191,70275,72916,10106
18085,"Kosciusko County, Indiana",77609,38681,38928,5098
18089,"Lake County, Indiana",493618,238445,255173,32269
18091,"LaPorte County, Indiana",111246,57867,53379,6657
18095,"Madison County, Indiana",130348,65171,65177,7744
18097,"Marion County, Indiana",918977,443342,475635,70438
18105,"Monroe County, Indiana",141019,69626,71393,6988
18109,"Morgan County, Indiana",69356,34565,34791,3886
18127,"Porter County, Indiana",165682,81170,84512,9271
18141,"St. Joseph County, Indiana",266344,129276,137068,16978
18157,"Tippecanoe County, Indiana",177513,90432,87081,10548
18163,"Vanderburgh County, Indiana",180858,87438,93420,11127
18167,"Vigo County, Indiana",108428,54638,53790,6319
18177,"Wayne County, Indiana",68346,33363,34983,4225
19013,"Black Hawk County, Iowa",131820,64566,67254,7882
19049,"Dallas County, Iowa",71967,35843,36124,6304
19061,"Dubuque County, Iowa",95097,46580,48517,5909
19103,"Johnson County, Iowa",136317,68282,68035,7937
19113,"Linn County, Iowa",215295,105990,109305,14021
19153,"Polk County, Iowa",443710,218188,225522,32557
19155,"Pottawattamie County, Iowa",92913,45098,47815,6052
19163,"Scott County, Iowa",168799,83160,85639,11122
19169,"Story County, Iowa",91140,47338,43802,4682
19193,"Woodbury County, Iowa",102323,51541,50782,7944
20015,"Butler County, Kansas",65827,33142,32685,3991
20045,"Douglas County, Kansas",112864,55280,57584,6140
20091,"Johnson County, Kansas",559913,273611,286302,38395
20103,"Leavenworth County, Kansas",77739,41576,36163,4618
20161,"Riley County, Kansas",75508,40557,34951,5163
20173,"Sedgwick County, Kansas",503889,248985,254904,39274
20177,"Shawnee County, Kansas",178991,86468,92523,11937
20209,"Wyandotte County, Kansas",159129,78548,80581,13558
21015,"Boone County, Kentucky",123316,61497,61819,8681
21029,"Bullitt County, Kentucky",75896,37452,38444,4402
21037,"Campbell County, Kentucky",90908,44177,46731,5453
21047,"Christian County, Kentucky",75427,39531,35896,7193
21059,"Daviess County, Kentucky",97847,47953,49894,6789
21067,"Fayette County, Kentucky",305489,150269,155220,19384
21093,"Hardin County, Kentucky",107025,52850,54175,7693
21111,"Jefferson County, Kentucky",750828,362894,387934,49265
21117,"Kenton County, Kentucky",161711,79397,82314,11661
21145,"McCracken County, Kentucky",65549,31227,34322,3529
21151,"Madison County, Kentucky",84786,41691,43095,4396
21195,"Pike County, Kentucky",64178,31544,32634,3729
21227,"Warren County, Kentucky",117110,56709,60401,7189
22005,"Ascension Parish, Louisiana",112286,55515,56771,8225
22015,"Bossier Parish, Louisiana",122197,59925,62272,9350
22017,"Caddo Parish, Louisiana",257093,122872,134221,18225
22019,"Calcasieu Parish, Louisiana",194493,94733,99760,13539
22033,"East Baton Rouge Parish, Louisiana",444526,213321,231205,29122
22045,"Iberia Parish, Louisiana",73999,35999,38000,5388
22051,"Jefferson Parish, Louisiana",433676,210419,223257,27815
22055,"Lafayette Parish, Louisiana",227055,111476,115579,16255
22057,"Lafourche Parish, Louisiana",97029,47356,49673,6639
22063,"Livingston Parish, Louisiana",131942,64683,67259,8726
22071,"Orleans Parish, Louisiana",369250,177208,192042,24486
22073,"Ouachita Parish, Louisiana",155363,74514,80849,11037
22079,"Rapides Parish, Louisiana",132373,63589,68784,9168
22097,"St. Landry Parish, Louisiana",83662,39906,43756,6837
22103,"St. Tammany Parish, Louisiana",239453,115839,123614,14172
22105,"Tangipahoa Parish, Louisiana",123441,59654,63787,8342
22109,"Terrebonne Parish, Louisiana",111893,54197,57696,8178
23001,"Androscoggin County, Maine",107609,53176,54433,6918
23003,"Aroostook County, Maine",70868,34517,36351,3380
23005,"Cumberland County, Maine",283921,138212,145709,13777
23011,"Kennebec County, Maine",121853,58737,63116,5963
23019,"Penobscot County, Maine",153746,75437,78309,7607
23031,"York County, Maine",199005,97080,101925,9927
24001,"Allegany County, Maryland",74012,38492,35520,3368
24003,"Anne Arundel County, Maryland",550488,272014,278474,34751
24005,"Baltimore County, Maryland",817455,386799,430656,49126
24009,"Calvert County, Maryland",89628,45320,44308,4904
24013,"Carroll County, Maryland",167217,82713,84504,8553
24015,"Cecil County, Maryland",101696,50431,51265,5812
24017,"Charles County, Maryland",150592,72409,78183,8799
24021,"Frederick County, Maryland",239582,118567,121015,14028
24025,"Harford County, Maryland",248622,121190,127432,14140
24027,"Howard County, Maryland",299430,145832,153598,17613
24031,"Montgomery County, Maryland",1004709,483810,520899,65162
24033,"Prince George's County, Maryland",881138,423106,458032,59064
