FIPS,County_State,Total,Male,Female,Under_5,Above_18,Above_65,MedAge_Total,MedAge_Male,MedAge_Female
1003,"Baldwin County, Alabama",200111,98284,101827,5.5,77.7,18.9,42.7,40.5,43.8
1015,"Calhoun County, Alabama",115916,55449,60467,5.8,77.8,16,38.8,37.4,40.3
1043,"Cullman County, Alabama",81289,40112,41177,6,77.5,17.5,40.6,40.2,41.3
1049,"DeKalb County, Alabama",71065,36028,35037,6.3,74.9,15.6,39.2,38.5,40.7
1051,"Elmore County, Alabama",80977,39865,41112,6.5,77,13.8,37.9,35.9,39.3
1055,"Etowah County, Alabama",103531,50191,53340,5.8,78.1,17.5,40.4,39,43.1
1069,"Houston County, Alabama",104193,49815,54378,6.2,76.3,16,39.1,37.4,40.5
1073,"Jefferson County, Alabama",660793,312139,348654,6.6,76.9,14.3,37.5,35.9,39.2
1077,"Lauderdale County, Alabama",93096,44124,48972,5.4,79.2,18.4,40.4,39,41.7
1081,"Lee County, Alabama",154255,75977,78278,5.8,78.4,10.3,30.5,29.1,32.4
1083,"Limestone County, Alabama",90787,45616,45171,5.7,76.6,13.8,39.4,37.5,40.9
1089,"Madison County, Alabama",350299,170383,179916,5.8,77.6,13.8,37.9,36.5,40
1095,"Marshall County, Alabama",94636,46429,48207,6.6,75.4,16.2,38.7,37.5,40.3
1097,"Mobile County, Alabama",415123,198456,216667,6.6,76,14.5,37.5,36.4,39.3
1101,"Montgomery County, Alabama",226189,107696,118493,6.6,76,13.6,35.7,33.8,37.2
1103,"Morgan County, Alabama",119607,57491,62116,6,76.3,15.4,40,39.7,40.4
1115,"St. Clair County, Alabama",86697,43430,43267,5.7,76.9,15.4,40,38.1,42.2
1117,"Shelby County, Alabama",206655,101079,105576,5.8,75.7,13.2,38.2,37.4,38.6
1121,"Talladega County, Alabama",81322,40127,41195,5.4,77.6,16,40.9,40.2,41.9
1125,"Tuscaloosa County, Alabama",202212,97483,104729,6,79,11.8,32.1,30.1,34.2
1127,"Walker County, Alabama",65471,31573,33898,5.9,77.9,18.1,43.5,43,44
2020,"Anchorage Municipality, Alaska",301010,153176,147834,7.2,75.1,8.9,32.1,31.5,32.9
2090,"Fairbanks North Star Borough, Alaska",99357,54819,44538,7.1,75.9,7.9,30.1,28.3,32.6
2170,"Matanuska-Susitna Borough, Alaska",97882,51396,46486,7.1,72.6,9.7,34.4,34.1,35
4001,"Apache County, Arizona",71828,35228,36600,8,70.9,13.1,34.3,33.3,35.3
4003,"Cochise County, Arizona",127448,64493,62955,6.7,77.7,19.7,40.1,38.4,42.2
