FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
1003,"Baldwin County, Alabama",200111,173137,19588,1621,639,0
1049,"DeKalb County, Alabama",71065,59354,896,1126,416,0
1051,"Elmore County, Alabama",80977,60220,18242,219,64,0
1055,"Etowah County, Alabama",103531,83905,16122,338,686,55
1069,"Houston County, Alabama",104193,72551,28680,221,573,0
1073,"Jefferson County, Alabama",660793,346240,277340,2147,10715,284
1077,"Lauderdale County, Alabama",93096,80893,8534,188,635,0
1081,"Lee County, Alabama",154255,109240,35876,134,5159,0
1083,"Limestone County, Alabama",90787,74349,12992,416,294,0
1089,"Madison County, Alabama",350299,240157,82298,1526,8709,341
1095,"Marshall County, Alabama",94636,85782,2294,275,449,0
1097,"Mobile County, Alabama",415123,245445,146554,2343,8596,47
1101,"Montgomery County, Alabama",226189,86949,128175,359,5887,58
1103,"Morgan County, Alabama",119607,99508,15715,1700,415,0
1115,"St. Clair County, Alabama",86697,75006,8616,92,527,0
1117,"Shelby County, Alabama",206655,165564,24599,48,4162,0
1121,"Talladega County, Alabama",81322,52540,26504,338,110,0
1125,"Tuscaloosa County, Alabama",202212,132385,62601,325,3055,0
2020,"Anchorage Municipality, Alaska",301010,194958,17041,21093,27805,6629
2090,"Fairbanks North Star Borough, Alaska",99357,75321,4564,5386,2497,588
2170,"Matanuska-Susitna Borough, Alaska",97882,81634,714,4883,1774,181
4001,"Apache County, Arizona",71828,16135,839,51844,350,0
4003,"Cochise County, Arizona",127448,106504,4774,1562,2552,61
4005,"Coconino County, Arizona",137682,88024,2159,36043,3038,106
4013,"Maricopa County, Arizona",4087191,3228764,209043,76490,162396,9032
4015,"Mohave County, Arizona",203361,183875,2462,5709,2462,8
4017,"Navajo County, Arizona",108101,52249,895,48675,706,62
4019,"Pima County, Arizona",1004516,777131,34178,32490,26807,1901
4021,"Pinal County, Arizona",401918,325699,18514,20752,7979,1448
4025,"Yavapai County, Arizona",218844,199264,1241,3310,2265,6
4027,"Yuma County, Arizona",203247,159621,4723,1765,2407,13
5007,"Benton County, Arkansas",242321,214453,4058,3780,8304,961
5031,"Craighead County, Arkansas",102518,83798,13400,600,1120,668
5045,"Faulkner County, Arkansas",120768,100899,14111,604,1334,0
5051,"Garland County, Arkansas",97322,83623,8226,269,788,45
5069,"Jefferson County, Arkansas",72297,30360,40731,30,710,0
5085,"Lonoke County, Arkansas",71557,64581,4407,206,224,0
5119,"Pulaski County, Arkansas",392702,231534,140048,627,7911,57
5131,"Sebastian County, Arkansas",126776,103046,9238,1569,5437,0
5143,"Washington County, Arkansas",220792,177302,6388,2384,5473,4593
5145,"White County, Arkansas",78592,71044,3463,0,490,152
6001,"Alameda County, California",1610921,713395,184981,10794,451957,13287
6007,"Butte County, California",224241,183737,3568,4523,9265,305
6013,"Contra Costa County, California",1111339,659797,94162,5167,172954,5901
6017,"El Dorado County, California",183087,160533,1466,1542,7846,283
6019,"Fresno County, California",965974,584595,49881,8453,96158,2461
6023,"Humboldt County, California",134809,107854,2150,7376,3351,67
6025,"Imperial County, California",179091,120726,3993,3238,2744,244
6029,"Kern County, California",874589,664002,46940,10342,40765,925
6031,"Kings County, California",150269,93965,9578,2676,5293,382
6033,"Lake County, California",64184,50076,1483,2774,590,0
6037,"Los Angeles County, California",10116705,5313124,830371,63594,1449469,28601
6039,"Madera County, California",154548,123679,5401,1384,3908,202
6041,"Marin County, California",260750,207308,5536,434,15868,292
6045,"Mendocino County, California",87869,73918,623,4098,1666,137
6047,"Merced County, California",266353,161624,9044,914,19573,310
6053,"Monterey County, California",431344,333058,11311,3950,25836,1886
6055,"Napa County, California",141667,102370,3310,681,11739,47
6057,"Nevada County, California",98893,91442,191,802,1380,240
6059,"Orange County, California",3145515,1982736,51390,14080,599768,8933
6061,"Placer County, California",371694,312926,5902,2342,26796,1455
6065,"Riverside County, California",2329271,1475692,145374,21276,147907,5570
6067,"Sacramento County, California",1482026,871895,150307,10329,228084,16250
6071,"San Bernardino County, California",2112619,1284478,175566,19770,143777,6956
6073,"San Diego County, California",3263431,2314039,161603,15950,378006,14253
6075,"San Francisco County, California",852469,403610,45986,2382,289650,3665
6077,"San Joaquin County, California",715597,394950,52150,4827,109924,4233
6079,"San Luis Obispo County, California",279083,243548,5578,1188,11385,0
6081,"San Mateo County, California",758581,399957,19872,2463,206532,9814
6083,"Santa Barbara County, California",440668,339492,8498,3018,21108,1125
6085,"Santa Clara County, California",1894605,907866,48169,7894,651614,7155
6087,"Santa Cruz County, California",271804,218568,2398,724,12339,194
6089,"Shasta County, California",179804,156618,2167,3047,3983,147
6095,"Solano County, California",431131,234128,60256,2283,67746,3265
6097,"Sonoma County, California",500292,376299,7339,6750,19734,2210
6099,"Stanislaus County, California",531997,405964,12774,4114,29521,3588
6101,"Sutter County, California",95847,68279,2585,837,13805,635
6107,"Tulare County, California",458198,377865,7757,5512,15247,131
6111,"Ventura County, California",846178,681601,13518,7959,60326,1684
6113,"Yolo County, California",207590,131402,6678,1654,28058,1001
6115,"Yuba County, California",73966,52989,1794,1568,4285,273
8001,"Adams County, Colorado",480718,403077,15119,7788,19265,181
8005,"Arapahoe County, Colorado",618821,445668,64678,4354,32850,1240
8013,"Boulder County, Colorado",313333,276324,3253,2480,14136,236
8031,"Denver County, Colorado",663862,520398,62757,7326,24784,174
8035,"Douglas County, Colorado",314638,282577,4025,713,12019,163
8041,"El Paso County, Colorado",663519,524761,38303,3475,19301,1504
8059,"Jefferson County, Colorado",558503,508531,6274,5199,14944,334
8069,"Larimer County, Colorado",324122,295280,3133,2664,6030,1418
8077,"Mesa County, Colorado",148255,139247,971,1621,1234,198
8101,"Pueblo County, Colorado",161875,124609,3470,3606,1246,0
8123,"Weld County, Colorado",277670,247795,2834,2035,3131,86
9001,"Fairfield County, Connecticut",945438,693016,103807,2090,48920,203
9003,"Hartford County, Connecticut",897985,651664,120884,2592,44427,612
9005,"Litchfield County, Connecticut",184993,170839,4634,213,3620,0
9007,"Middlesex County, Connecticut",164943,146206,8378,173,5065,0
9009,"New Haven County, Connecticut",861277,641620,110111,816,31449,126
9011,"New London County, Connecticut",273676,221316,16418,942,10926,0
9013,"Tolland County, Connecticut",151367,134614,4678,0,5488,0
9015,"Windham County, Connecticut",116998,104674,2947,259,1507,78
10001,"Kent County, Delaware",171987,116236,40749,925,4298,0
10003,"New Castle County, Delaware",552778,356714,135575,1188,29442,216
10005,"Sussex County, Delaware",210849,174583,27002,1171,2432,0
11001,"District of Columbia, District of Columbia",658893,265077,321346,1859,24910,172
12001,"Alachua County, Florida",256380,178844,49792,733,14476,404
12005,"Bay County, Florida",178985,146131,18518,1860,3792,359
12009,"Brevard County, Florida",556885,461038,59579,1622,13843,526
12011,"Broward County, Florida",1869235,1177153,518878,5733,68879,1089
12015,"Charlotte County, Florida",168474,152008,8834,250,2526,0
12017,"Citrus County, Florida",139377,128966,4550,469,1828,0
12019,"Clay County, Florida",199798,164031,18083,213,6399,160
12021,"Collier County, Florida",348777,297427,24870,2095,4363,0
12023,"Columbia County, Florida",67857,52357,12226,141,371,69
12031,"Duval County, Florida",897698,548264,269851,2068,40428,288
12033,"Escambia County, Florida",310659,213135,68490,1262,10328,156
12035,"Flagler County, Florida",102408,85639,11376,77,2595,65
12053,"Hernando County, Florida",175855,159153,9370,143,2150,0
12055,"Highlands County, Florida",98236,77882,8907,383,1600,56
12057,"Hillsborough County, Florida",1316298,920956,217184,3412,49501,1085
12061,"Indian River County, Florida",144755,124583,13330,466,1723,0
12069,"Lake County, Florida",315690,262792,31348,1612,6447,128
12071,"Lee County, Florida",679513,577950,60547,1414,10591,732
12073,"Leon County, Florida",283988,177432,90766,467,9784,211
12081,"Manatee County, Florida",351746,300734,31478,466,6930,1049
12083,"Marion County, Florida",339167,276045,41330,989,4450,183
12085,"Martin County, Florida",153392,135109,9103,336,1503,0
12086,"Miami-Dade County, Florida",2662874,2020881,496962,3063,41900,664
12087,"Monroe County, Florida",77136,69347,5074,164,741,0
12091,"Okaloosa County, Florida",196512,153150,17783,1945,5668,237
12095,"Orange County, Florida",1253001,819441,260845,2682,64590,623
12097,"Osceola County, Florida",310211,227655,34646,930,8692,2229
12099,"Palm Beach County, Florida",1397710,1048104,252336,2046,37234,558
12101,"Pasco County, Florida",485331,431737,24698,893,11887,609
12103,"Pinellas County, Florida",938098,773474,98036,2484,29055,927
12105,"Polk County, Florida",634638,496730,96781,1764,10013,361
12107,"Putnam County, Florida",72143,57108,12160,154,468,0
12109,"St. Johns County, Florida",217919,194932,12023,559,4657,259
12111,"St. Lucie County, Florida",291028,212762,56443,703,4742,0
12113,"Santa Rosa County, Florida",163422,141266,9969,454,3909,332
12115,"Sarasota County, Florida",396962,362320,18618,1038,6321,69
12117,"Seminole County, Florida",442516,348768,52415,454,18248,118
12119,"Sumter County, Florida",114350,101008,10346,293,321,0
