FIPS,State,County,N_RankedCounties,HO_rank,HO_quart,HF_rank,HF_quart,MORT_rank,MORT_quart,MORB_rank,MORT_quart,HB_rank,HB_quart,CC_rank,CC_quart,SE_rank,SE_quart,PE_rank,PE_quart,Deaths,Population,YPPL_rate,Fair_percent,PPH_days,PMH_days,LBW_percent,smoking_percent,Obese_percent,Binge_percent,MV_rate,CHL_100000,TeenB_rate,Uninsure_percent,PCP_rate,diab_rate,hospise_percent,college_percent,unemploy_rate,Childpov_percent,GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01001,Alabama,Autauga,67,23,2,10,1,19,2,35,3,35,3,14,1,8,1,37,3,670,137881,9778,26,5.5,4.1,9,28,30,14,29,370,53,14,74,81,35,21,5,14,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,Alabama,Baldwin,67,3,1,3,1,4,1,2,1,5,1,22,2,3,1,43,3,2148,449589,8222,13,3.6,4.1,9,23,25,18,24,246,49,21,103,79,43,26,4,15,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01005,Alabama,Barbour,67,45,3,54,4,30,2,56,4,51,4,12,1,54,4,46,3,424,79450,10686,24,6.1,3.8,11,23,36,10,30,586,75,15,50,80,64,11,8,34,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Alabama,Bibb,67,51,4,19,2,57,4,24,2,31,2,53,4,17,1,10,1,373,60430,13070,18,4.2,5.3,9,,32,10,41,284,68,18,61,75,22,11,5,24,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Alabama,Blount,67,10,1,9,1,9,1,19,2,12,1,60,4,2,1,11,1,787,155580,8930,25,5.6,4.5,7,23,32,6,29,85,57,21,35,77,36,12,4,19,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,Alabama,Bullock,67,63,4,62,4,65,4,58,4,61,4,41,3,62,4,63,4,213,30605,15081,,5.0,2.8,13,,37,5,55,724,85,17,83,79,25,9,10,39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Alabama,Butler,67,55,4,60,4,60,4,27,2,58,4,58,4,49,3,23,2,397,55895,13492,22,3.9,3.1,11,28,36,9,37,634,66,15,54,70,30,12,8,34,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,Alabama,Calhoun,67,46,3,30,2,45,3,41,3,49,3,11,1,35,3,28,2,2035,313874,11526,25,5.2,4.8,9,27,33,12,28,535,60,13,110,78,25,17,5,25,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,Alabama,Chambers,67,28,2,47,3,29,2,36,3,29,2,9,1,61,4,9,1,610,97016,10380,,4.2,4.9,10,17,36,10,28,634,71,13,71,78,42,10,13,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,Alabama,Cherokee,67,44,3,38,3,41,3,45,3,41,3,56,4,21,2,38,3,440,67722,11164,32,5.6,4.3,9,27,31,15,26,153,72,18,44,83,24,8,5,29,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Alabama,Chilton,67,57,4,35,3,54,4,49,3,50,3,51,4,25,2,2,1,742,117579,12534,23,5.7,5.1,10,27,34,10,41,234,62,18,36,82,35,10,5,24,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01023,Alabama,Choctaw,67,49,3,33,2,37,3,62,4,26,2,16,1,45,3,60,4,272,40436,10827,25,6.6,4.0,11,17,36,6,45,471,56,18,75,86,48,11,8,30,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,Alabama,Clarke,67,21,2,49,3,23,2,28,2,43,3,21,2,50,3,49,3,377,75099,10108,28,3.4,2.4,11,20,35,13,46,613,56,14,88,67,49,13,8,31,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,Alabama,Clay,67,27,2,43,3,28,2,34,2,15,1,63,4,39,3,29,2,239,37927,10354,26,4.8,4.0,9,24,32,6,20,405,61,18,80,60,24,9,7,23,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,Alabama,Cleburne,67,32,2,20,2,31,2,37,3,13,1,57,4,13,1,64,4,248,40430,10691,25,5.5,4.6,9,,29,10,29,163,72,18,7,77,33,10,5,23,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,Alabama,Coffee,67,9,1,13,1,10,1,10,1,32,2,35,3,7,1,40,3,645,126516,9005,20,3.8,4.3,9,24,33,15,24,550,56,17,63,80,38,20,4,23,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01033,Alabama,Colbert,67,30,2,37,3,25,2,47,3,57,4,17,1,19,2,58,4,908,150797,10145,20,4.5,4.7,11,30,36,9,26,444,54,15,77,82,33,16,6,24,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01035,Alabama,Conecuh,67,56,4,57,4,55,4,40,3,4,1,67,4,60,4,65,4,226,36608,12893,17,4.7,3.4,12,13,33,4,41,276,60,16,60,60,41,10,8,37,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,Alabama,Coosa,67,50,3,51,4,59,4,14,1,36,3,33,2,53,4,34,2,226,30677,13313,23,2.6,2.2,11,,35,4,38,489,53,19,18,84,46,9,7,23,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,Alabama,Covington,67,16,1,53,4,39,3,5,1,48,3,55,4,29,2,61,4,678,99944,10993,22,3.0,3.2,9,28,32,10,33,360,70,16,97,73,31,14,5,31,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01041,Alabama,Crenshaw,67,24,2,52,4,15,1,42,3,44,3,64,4,26,2,45,3,213,37372,9565,26,5.2,4.5,9,,35,,39,474,61,19,29,73,24,12,5,25,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01043,Alabama,Cullman,67,15,1,7,1,17,1,29,2,17,1,38,3,9,1,4,1,1261,221387,9688,21,4.4,5.3,9,27,29,7,33,146,55,19,77,80,35,13,4,19,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01045,Alabama,Dale,67,11,1,34,2,13,1,16,1,54,4,30,2,22,2,22,2,719,136811,9255,26,4.3,3.7,9,28,33,20,23,463,59,15,33,80,42,15,5,24,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01047,Alabama,Dallas,67,62,4,63,4,62,4,55,4,63,4,8,1,67,4,8,1,884,121905,14643,25,4.3,3.9,12,20,41,11,32,1252,83,11,112,67,24,14,10,42,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01049,Alabama,DeKalb,67,19,2,40,3,16,1,30,2,16,1,65,4,37,3,17,1,1022,187532,9667,22,4.4,4.9,9,20,32,11,31,228,74,22,43,79,24,11,5,26,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01051,Alabama,Elmore,67,7,1,5,1,12,1,7,1,7,1,28,2,6,1,12,1,1002,209138,9184,18,4.2,3.2,9,22,29,11,25,433,54,14,41,77,32,18,5,16,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01053,Alabama,Escambia,67,47,3,58,4,51,4,43,3,52,4,50,3,56,4,36,3,647,105673,11908,25,3.9,4.0,11,26,35,4,37,462,71,17,71,73,38,11,7,31,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
