FIPS,State,County,N_RankedCounties,HO_rank,HO_quart,HF_rank,HF_quart,MORT_rank,MORT_quart,MORB_rank,MORT_quart,HB_rank,HB_quart,CC_rank,CC_quart,SE_rank,SE_quart,PE_rank,PE_quart,Deaths,Population,YPPL_rate,Fair_percent,PPH_days,PMH_days,LBW_percent,smoking_percent ,Obese_percent,inactive_percent,Binge_percent,MV_rate,CHL_100000,TeenB_rate,Uninsure_percent,PCP_rate,diab_rate,unemploy_rate,Childpov_percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01001,Alabama,Autauga,67,22,2,9,1,25,2,31,2,39,3,11,1,2,1,21,2,721,50756,9866,22,4.9,4.1,9.7,25,34,32,16,28,425,51,14,44,12,8.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,Alabama,Baldwin,67,3,1,3,1,4,1,2,1,3,1,6,1,6,1,12,1,2228,179878,8092,13,3.4,4.2,9.0,23,26,25,20,23,270,50,16,82,11,8.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01005,Alabama,Barbour,67,31,2,52,4,11,1,60,4,55,4,45,3,51,4,53,4,366,29737,8836,25,6.1,4.6,12.1,23,37,34,11,28,710,74,19,37,14,12.1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Alabama,Bibb,67,58,4,57,4,60,4,42,3,65,4,48,3,34,2,50,3,378,21587,13097,21,4.8,5.6,10.0,35,34,37,13,41,319,59,18,28,12,10.7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Alabama,Blount,67,17,1,13,1,8,1,33,2,15,1,36,3,9,1,51,4,781,58345,8699,25,6.1,5.1,7.5,23,32,36,5,31,87,51,18,22,13,8.9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,Alabama,Bullock,67,65,4,63,4,63,4,65,4,58,4,57,4,60,4,64,4,201,10985,13598,,5.2,5.7,13.7,,39,31,5,62,843,90,21,46,16,14.7,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Alabama,Butler,67,49,3,62,4,55,4,38,3,64,4,66,4,53,4,34,2,381,19964,12231,24,4.3,3.5,11.3,29,41,37,9,37,602,66,18,45,17,12.1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,Alabama,Calhoun,67,36,3,38,3,40,3,34,2,49,3,17,1,43,3,44,3,2033,114081,11208,23,5.1,4.9,9.0,27,34,34,13,27,543,58,16,77,14,9.5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,Alabama,Chambers,67,55,4,53,4,41,3,61,4,38,3,24,2,59,4,24,2,660,34320,11218,41,4.4,4.8,11.1,21,35,36,13,27,564,70,19,49,16,13.7,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,Alabama,Cherokee,67,47,3,27,2,45,3,43,3,32,2,35,3,26,2,36,3,475,24448,11613,29,5.6,4.6,9.0,25,31,36,13,27,183,62,18,25,13,9.1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Alabama,Chilton,67,51,4,44,3,54,4,41,3,35,3,46,3,46,3,46,3,733,42971,12218,22,5.1,5.2,9.8,23,35,31,10,43,243,61,19,30,12,9.4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01023,Alabama,Choctaw,67,40,3,26,2,17,1,62,4,23,2,22,2,35,3,23,2,250,13990,9538,31,7.1,4.1,11.0,17,38,35,8,43,420,53,18,36,17,11.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,Alabama,Clarke,67,10,1,50,3,7,1,19,2,46,3,41,3,56,4,25,2,366,26042,8490,,3.5,2.4,11.8,23,35,38,14,33,719,46,17,53,15,15.8,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,Alabama,Clay,67,24,2,41,3,28,2,23,2,19,2,63,4,42,3,18,2,232,13640,10287,21,4.4,4.7,9.3,21,34,38,7,20,413,57,18,36,15,13.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,Alabama,Cleburne,67,9,1,17,1,6,1,24,2,8,1,47,3,15,1,58,4,233,14759,8288,21,5.4,4.8,8.3,21,30,34,10,29,122,65,18,7,12,8.4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,Alabama,Coffee,67,13,1,10,1,15,1,14,1,7,1,23,2,11,1,8,1,635,48635,9293,21,3.6,4.2,9.1,19,32,29,11,25,538,51,16,44,13,7.3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01033,Alabama,Colbert,67,35,3,24,2,29,2,47,3,42,3,8,1,29,2,35,3,921,54639,10432,24,4.7,4.4,11.3,28,33,35,8,24,437,53,16,71,13,9.7,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01035,Alabama,Conecuh,67,43,3,58,4,44,3,36,3,24,2,64,4,57,4,55,4,216,12931,11542,17,4.7,3.8,11.6,20,33,36,6,53,574,55,17,38,17,16.3,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,Alabama,Coosa,67,42,3,42,3,50,3,29,2,31,2,33,2,52,4,56,4,227,10556,11912,25,3.4,3.4,11.1,,34,35,9,38,361,55,16,9,15,13.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,Alabama,Covington,67,21,2,45,3,34,2,13,1,61,4,53,4,24,2,19,2,644,36678,10720,21,3.5,4.0,9.3,29,36,37,12,36,450,70,19,65,13,9.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01041,Alabama,Crenshaw,67,30,2,28,2,38,3,21,2,28,2,62,4,17,1,27,2,227,13781,11079,23,4.5,3.6,9.9,18,37,34,,38,524,59,18,15,14,8.7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01043,Alabama,Cullman,67,19,2,11,1,24,2,22,2,22,2,20,2,12,1,11,1,1273,81778,9846,21,4.4,4.7,9.3,25,32,29,7,37,235,57,19,54,13,8.8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01045,Alabama,Dale,67,15,1,19,2,14,1,17,1,51,4,29,2,14,1,28,2,703,48147,9126,24,4.7,4.0,8.7,26,36,31,17,22,449,56,17,27,13,8.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
