FIPS,State,County,HO_rank,HF_rank,MORT_rank,MORB_rank,HB_rank,CC_rank,SE_rank,PE_rank,Deaths,Population,YPPL_rate,Fair_percent,PPH_days,PMH_days,LBW_percent,smoking_percent ,Obese_percent,inactive_percent,Binge_percent,MV_rate,CHL_100000,TeenB_rate,Uninsure_percent,PCP_rate,diab_rate,unemploy_rate,Childpov_percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,,,,,,,,,,70721,4802740,9609,20,4.2,4.1,10.4,23,33,31,12,23,562,49,17,61,13,9.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01001,Alabama,Autauga,15,9,7,36,33,8,10,39,729,55267,8376,23,5.1,4.3,9.4,24,34,32,17,24,363,43,14,37,12,8.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,Alabama,Baldwin,2,4,5,2,5,12,4,1,2325,186717,7770,13,3.3,3.8,8.8,23,26,25,19,20,306,48,19,74,11,8.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01005,Alabama,Barbour,33,57,22,51,55,36,53,46,422,27119,9458,22,5.0,4.1,12.3,24,37,34,13,26,645,74,19,44,14,11.4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Alabama,Bibb,53,52,54,54,62,40,38,28,390,22766,11544,21,5.0,5.3,11.9,33,34,37,13,34,327,48,18,26,12,9.9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Alabama,Blount,10,13,9,12,13,46,8,35,826,57677,8506,22,5.2,4.0,7.6,22,32,36,5,28,113,49,19,21,13,8.3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,Alabama,Bullock,47,62,28,60,60,45,62,61,192,10542,9884,25,5.0,,14.1,,39,31,,59,770,86,16,55,16,15.3,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Alabama,Butler,28,58,46,11,65,51,52,20,389,20650,11006,20,3.8,3.2,10.4,29,41,37,10,29,645,62,17,33,17,11.6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,Alabama,Calhoun,43,36,50,39,47,19,39,36,2042,117797,11097,24,5.1,5.0,9.2,26,34,34,13,23,566,51,16,62,14,9.2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,Alabama,Chambers,49,54,34,59,48,32,54,43,643,33939,10368,40,4.8,4.0,11.4,24,35,36,8,27,664,64,19,41,16,11.4,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,Alabama,Cherokee,23,39,20,34,34,47,34,55,470,26057,9409,23,5.1,4.3,9.3,25,31,36,14,26,258,52,19,31,13,8.7,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Alabama,Chilton,34,38,33,38,30,44,43,33,741,43895,10330,21,4.8,4.8,9.8,21,35,31,11,36,197,57,20,18,12,8.6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01023,Alabama,Choctaw,62,35,57,67,40,14,50,41,253,13609,11985,33,7.3,4.6,10.8,19,38,35,8,45,433,48,18,36,17,11.4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,Alabama,Clarke,18,53,18,21,39,34,56,49,403,25695,9309,,3.5,2.4,12.2,20,35,38,13,31,763,42,17,54,15,15.2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,Alabama,Clay,38,40,29,48,22,64,35,25,254,13862,9915,24,5.0,4.6,10.9,21,34,38,6,20,395,51,19,36,15,11.8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,Alabama,Cleburne,29,16,41,20,6,56,12,53,279,14835,10738,19,5.5,4.5,7.9,18,30,34,9,24,220,58,18,13,12,8.3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,Alabama,Coffee,6,6,8,6,9,25,7,3,636,50526,8403,19,3.4,3.8,9.2,19,32,29,12,24,623,49,18,44,13,7.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01033,Alabama,Colbert,42,20,38,44,53,6,22,29,941,54512,10591,24,4.7,4.5,11.0,30,33,35,10,21,498,55,15,61,13,9.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01035,Alabama,Conecuh,58,60,61,43,25,67,60,48,271,13105,12942,20,5.1,4.1,11.6,19,33,36,6,48,605,53,19,38,17,14.8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,Alabama,Coosa,44,55,52,33,35,38,55,57,221,10713,11435,22,3.5,3.9,11.7,,34,35,13,34,477,48,17,9,15,10.6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,Alabama,Covington,22,46,25,26,64,39,30,5,638,38058,9830,23,3.7,4.5,9.6,31,36,37,12,31,471,70,18,63,13,8.9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01041,Alabama,Crenshaw,19,25,24,15,19,59,16,21,238,13911,9645,20,4.3,3.4,9.7,15,37,34,13,35,647,55,19,14,14,8.7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
