FIPS	State	County	N_RankedCounties	HO_rank	HO_quart	HF_rank	HF_quart	MORT_rank	MORT_quart	MORB_rank	MORT_quart	HB_rank	HB_quart	CC_rank	CC_quart	SE_rank	SE_quart	PE_rank	PE_quart	Deaths	Population	YPPL_rate	Fair_percent	PPH_days	PMH_days	LBW_percent	smoking_percent	Obese_percent	% Physically Inactive	Binge_percent	CHL_100000 	TeenB_rate	Uninsure_percent	PCP_rate	diab_rate	unemploy_rate	Childpov_percent	alc_drivingdeath
1001	Alabama	Autauga	67	10	1	7	1	7	1	21	2	15	1	10	1	6	1	42	3	729	55514	8376	23	5.1	3.6	9.3	22	31	29	17	447	39	14	38	12	6.5	19	25
1003	Alabama	Baldwin	67	2	1	6	1	5	1	2	1	9	1	8	1	7	1	49	3	2325	190790	7770	13	3.3	3.8	8.9	21	27	28	18	302	46	17	75	12	6.8	21	32
1005	Alabama	Barbour	67	32	2	58	4	22	2	50	3	64	4	36	3	60	4	60	4	422	27201	9458	23	4.8	4.3	12.3	25	37	35	14	874	74	19	44	14	11.2	47	48
1007	Alabama	Bibb	67	51	4	38	3	54	4	51	4	42	3	33	2	40	3	19	2	390	22597	11544	18	4.7	5.1	12.7	26	34	37	11	466	49	16	22	11	7.6	27	28
1009	Alabama	Blount	67	12	1	13	1	9	1	20	2	7	1	44	3	9	1	21	2	826	57826	8506	24	5.9	3.9	7.7	21	30	35	6	175	48	18	19	14	6.2	23	23
1011	Alabama	Bullock	67	39	3	67	4	28	2	54	4	67	4	46	3	63	4	52	4	192	10474	9884	23	4.2		13.7	38	42	33		1404	85	16	28	18	13.4	43	40
1013	Alabama	Butler	67	27	2	60	4	46	3	12	1	62	4	56	4	59	4	67	4	389	20307	11006	20	3.9	3.5	10.4	31	38	37	11	639	61	16	34	16	10.9	42	15
1015	Alabama	Calhoun	67	40	3	29	2	50	3	35	3	29	2	29	2	32	2	29	2	2042	117296	11097	23	5.2	5.1	9	24	33	33	12	663	51	17	67	14	7.6	31	20
1017	Alabama	Chambers	67	48	3	51	4	34	2	59	4	52	4	31	2	51	4	46	3	643	34064	10368	39	5	4.3	11.7	24	35	39		766	63	18	38	15	9.3	35	25
1019	Alabama	Cherokee	67	26	2	24	2	20	2	42	3	33	2	37	3	22	2	16	1	470	26021	9409	24	6.1	5.2	8.9	24	31	34	15	269	52	17	27	14	7.1	30	30
1021	Alabama	Chilton	67	31	2	35	3	33	2	30	2	23	2	50	3	39	3	41	3	741	43819	10330	21	4.6	4.9	9.8	20	38	32	9	321	58	20	18	13	6.5	30	25
1023	Alabama	Choctaw	67	60	4	31	2	57	4	57	4	37	3	19	2	42	3	18	2	253	13633	11985	32	5.6	4.6	11.6	20	39	38		463	46	18	37	17	9	30	35
1025	Alabama	Clarke	67	22	2	44	3	18	2	36	3	11	1	38	3	53	4	61	4	403	25161	9309	22	4.4	3	12.9	14	36	37	9	821	42	18	47	16	12.1	32	27
1027	Alabama	Clay	67	42	3	47	3	29	2	56	4	53	4	53	4	38	3	33	2	254	13435	9915	29	6	5.3	10.7	26	35	39		455	52	19	36	15	9.3	30	31
1029	Alabama	Cleburne	67	34	2	18	2	41	3	34	2	8	1	52	4	13	1	27	2	279	14832	10738	20	5.9	5.2	8.5	19	31	35		270	54	17	20	13	6.9	26	15
1031	Alabama	Coffee	67	6	1	5	1	8	1	3	1	5	1	25	2	5	1	9	1	636	51252	8403	18	3.5	3.6	8.9	18	30	31	10	572	49	17	44	13	6.2	23	30
1033	Alabama	Colbert	67	36	3	19	2	38	3	37	3	36	3	9	1	17	1	28	2	941	54446	10591	26	4.4	4.8	10.2	30	32	31	7	598	53	15	55	14	7.6	25	14
1035	Alabama	Conecuh	67	61	4	61	4	61	4	46	3	49	3	67	4	61	4	53	4	271	12981	12942	18	4.4	5.2	12.4	23	36	37		664	55	19	38	18	11.6	46	24
1037	Alabama	Coosa	67	49	3	57	4	52	4	48	3	61	4	32	2	55	4	40	3	221	10966	11435	26	4	4.6	12.4	30	34	32		700	49	16		16	8.2	31	55
1039	Alabama	Covington	67	24	2	39	3	25	2	33	2	57	4	43	3	26	2	13	1	638	37955	9830	25	4.2	5.2	9.5	29	34	39	11	449	69	18	53	14	7.5	34	28
1041	Alabama	Crenshaw	67	18	2	26	2	24	2	8	1	20	2	63	4	21	2	15	1	238	14083	9645	20	4	3.8	8.9	17	36	34		554	54	19	22	15	7.2	29	28
1043	Alabama	Cullman	67	16	1	9	1	14	1	15	1	21	2	13	1	11	1	7	1	1309	80440	9060	21	3.9	4.4	9.1	22	32	32	11	322	56	18	57	13	6.4	26	24
1045	Alabama	Dale	67	14	1	17	1	12	1	14	1	34	2	14	1	14	1	5	1	721	50444	8912	21	4.9	3.9	8.5	21	35	31	14	578	50	16	24	14	7.3	28	38
1047	Alabama	Dallas	67	57	4	64	4	60	4	39	3	63	4	26	2	67	4	43	3	825	42864	12899	25	3.9	3.6	12.8	21	41	35	12	1262	75	16	67	15	13.7	60	52
