FIPS,State,County,N_RankedCounties,HO_rank,HO_quart,HF_rank,HF_quart,MORT_rank,MORT_quart,MORB_rank,MORT_quart,HB_rank,HB_quart,CC_rank,CC_quart,SE_rank,SE_quart,PE_rank,PE_quart,Deaths,Population,YPPL_rate,Fair_percent,PPH_days,PMH_days,LBW_percent,smoking_percent,Obese_percent,inactive_percent,Binge_percent,CHL_100000,TeenB_rate,Uninsure_percent,PCP_rate,diab_rate,unemploy_rate,Childpov_percent
01001,Alabama,Autauga,67,10,1,7,1,9,1,22,2,21,2,9,1,5,1,44,3,754,55246,8405,23,5.1,3.6,9.1,22,31,28,17,508,36,13,32,12,5.7,20
01003,Alabama,Baldwin,67,2,1,4,1,3,1,2,1,8,1,6,1,8,1,46,3,2460,195540,7457,13,3.3,3.8,8.7,21,25,25,18,358,45,16,75,12,5.8,21
01005,Alabama,Barbour,67,22,2,59,4,14,1,42,3,62,4,38,3,56,4,61,4,414,27076,8901,23,4.8,4.3,11.9,25,38,32,14,717,73,18,44,15,10.0,42
01007,Alabama,Bibb,67,45,3,33,2,41,3,49,3,46,3,28,2,30,2,17,1,407,22512,10729,18,4.7,5.1,12.8,26,37,33,11,372,51,15,27,13,6.8,36
01009,Alabama,Blount,67,14,1,14,1,11,1,25,2,6,1,49,3,12,1,18,2,861,57872,8669,24,5.9,3.9,7.7,21,31,30,6,161,47,18,29,13,5.6,27
01011,Alabama,Bullock,67,47,3,67,4,42,3,51,4,67,4,58,4,63,4,33,2,180,10639,10744,23,4.2,,13.6,38,43,33,,964,85,18,38,18,12.0,44
01013,Alabama,Butler,67,23,2,60,4,31,2,16,1,63,4,51,4,55,4,67,4,375,20265,10357,20,3.9,3.5,10.8,31,38,37,11,739,63,17,34,16,9.3,40
01015,Alabama,Calhoun,67,31,2,23,2,36,3,33,2,33,2,24,2,27,2,29,2,2081,116736,10539,23,5.2,5.1,8.7,24,32,33,12,685,49,15,64,13,7.3,29
01017,Alabama,Chambers,67,60,4,47,3,56,4,59,4,57,4,21,2,42,3,55,4,686,34162,11864,39,5.0,4.3,11.9,24,40,35,,872,60,16,41,16,7.3,35
01019,Alabama,Cherokee,67,42,3,24,2,35,3,45,3,27,2,33,2,28,2,21,2,512,26203,10513,24,6.1,5.2,8.9,24,30,30,15,192,52,17,27,14,5.7,32
01021,Alabama,Chilton,67,35,3,31,2,46,3,31,2,25,2,36,3,32,2,41,3,767,43951,10911,21,4.6,4.9,9.8,20,37,32,9,354,58,19,18,13,5.8,34
01023,Alabama,Choctaw,67,63,4,35,3,64,4,56,4,38,3,27,2,34,2,42,3,253,13426,13412,32,5.6,4.6,11.1,20,40,35,,550,42,16,37,17,7.8,31
01025,Alabama,Clarke,67,33,2,48,3,40,3,35,3,9,1,45,3,57,4,53,4,425,25207,10709,22,4.4,3.0,12.6,14,35,31,9,890,42,17,48,15,10.8,35
01027,Alabama,Clay,67,34,2,53,4,15,1,60,4,55,4,62,4,38,3,39,3,259,13486,8959,29,6.0,5.3,11.4,26,37,38,,454,53,19,37,15,8.2,29
01029,Alabama,Cleburne,67,32,2,19,2,33,2,37,3,11,1,54,4,17,1,22,2,282,14994,10438,20,5.9,5.2,8.8,19,30,34,,384,57,16,20,13,6.2,28
01031,Alabama,Coffee,67,5,1,6,1,5,1,3,1,4,1,17,1,10,1,11,1,670,50938,8015,18,3.5,3.6,8.6,18,29,30,10,640,45,16,45,13,6.2,28
01033,Alabama,Colbert,67,36,3,18,2,39,3,36,3,43,3,8,1,13,1,23,2,949,54520,10657,26,4.4,4.8,10.0,30,34,32,7,683,52,14,55,15,6.8,26
01035,Alabama,Conecuh,67,61,4,64,4,63,4,53,4,53,4,66,4,60,4,65,4,290,12887,13362,18,4.4,5.2,13.7,23,39,35,,809,55,18,39,19,10.3,43
01037,Alabama,Coosa,67,55,4,54,4,58,4,46,3,61,4,26,2,51,4,40,3,239,10898,12160,26,4.0,4.6,12.1,30,37,32,,474,49,17,,16,8.1,31
01039,Alabama,Covington,67,25,2,38,3,25,2,34,2,58,4,46,3,23,2,13,1,647,37886,9667,25,4.2,5.2,9.4,29,32,38,11,503,69,17,47,14,7.2,29
01041,Alabama,Crenshaw,67,11,1,26,2,19,2,10,1,23,2,55,4,26,2,14,1,214,13986,9103,20,4.0,3.8,9.0,17,37,32,,469,54,16,14,16,6.3,31
01043,Alabama,Cullman,67,12,1,8,1,16,1,13,1,24,2,14,1,6,1,9,1,1293,80811,8967,21,3.9,4.4,9.2,22,34,31,11,317,56,18,56,13,5.5,23
01045,Alabama,Dale,67,9,1,16,1,10,1,14,1,34,2,16,1,18,2,5,1,724,49884,8571,21,4.9,3.9,8.6,21,34,31,14,547,48,15,18,15,7.1,28
01047,Alabama,Dallas,67,53,4,62,4,60,4,39,3,64,4,15,1,66,4,47,3,856,41996,12349,25,3.9,3.6,12.8,21,42,33,12,1526,72,15,77,16,12.7,50
01049,Alabama,DeKalb,67,21,2,30,2,23,2,23,2,10,1,61,4,29,2,35,3,1091,71013,9413,20,4.7,4.9,8.6,18,32,29,10,298,59,22,41,14,7.0,30
01051,Alabama,Elmore,67,7,1,11,1,8,1,11,1,15,1,12,1,9,1,43,3,1059,80902,8198,17,4.4,4.4,9.0,21,30,31,10,548,42,13,30,13,6.0,20
01053,Alabama,Escambia,67,50,3,55,4,49,3,50,3,42,3,64,4,53,4,36,3,710,37983,11112,28,5.2,4.7,10.9,21,38,37,8,553,68,20,47,13,8.0,37
01055,Alabama,Etowah,67,40,3,27,2,47,3,32,2,44,3,25,2,21,2,25,2,1966,103931,11057,23,5.2,5.0,8.5,26,34,32,11,705,54,17,76,15,6.5,28
01057,Alabama,Fayette,67,58,4,22,2,54,4,55,4,7,1,40,3,46,3,4,1,355,16909,11627,32,5.6,5.2,10.0,14,36,31,,495,52,15,41,18,7.3,30
01059,Alabama,Franklin,67,43,3,45,3,55,4,28,2,36,3,65,4,44,3,2,1,605,31532,11761,24,5.0,4.4,8.8,25,34,33,,359,62,20,47,13,7.7,36
01061,Alabama,Geneva,67,17,1,51,4,18,2,19,2,59,4,59,4,37,3,15,1,485,26727,9086,28,4.3,3.4,9.1,33,35,31,13,453,54,19,22,13,6.5,38
01063,Alabama,Greene,67,64,4,61,4,57,4,67,4,60,4,42,3,64,4,51,4,166,8744,11968,27,5.1,5.3,16.0,18,48,33,,1296,51,16,34,19,10.1,51
01065,Alabama,Hale,67,38,3,58,4,26,2,48,3,52,4,56,4,59,4,45,3,284,15406,10098,21,3.9,4.1,14.1,,36,35,,1430,44,16,13,15,9.9,39
01067,Alabama,Henry,67,20,2,17,1,34,2,5,1,13,1,31,2,25,2,12,1,321,17296,10462,18,4.0,3.5,8.6,17,34,30,,567,47,17,29,15,6.8,29
01069,Alabama,Houston,67,8,1,9,1,7,1,15,1,19,2,5,1,14,1,10,1,1382,103668,8128,21,4.5,4.3,8.8,18,33,30,13,783,55,16,90,14,6.2,30
01071,Alabama,Jackson,67,49,3,25,2,51,4,47,3,12,1,53,4,24,2,60,4,1049,52951,11273,28,5.8,5.3,8.6,22,29,33,8,217,54,17,58,15,6.3,28
01073,Alabama,Jefferson,67,24,2,10,1,28,2,20,2,22,2,3,1,20,2,27,2,9927,659479,10235,18,3.7,3.9,11.4,21,33,28,15,835,47,15,100,13,6.0,27
01075,Alabama,Lamar,67,39,3,44,3,12,1,62,4,50,3,63,4,36,3,1,1,285,14236,8782,29,7.1,6.0,10.1,26,33,36,,351,56,17,7,15,6.9,31
