FIPS,State,County,N_RankedCounties,HO_rank,HO_quart,HF_rank,HF_quart,MORT_rank,MORT_quart,MORB_rank,MORT_quart,HB_rank,HB_quart,CC_rank,CC_quart,SE_rank,SE_quart,PE_rank,PE_quart,Deaths,Population,YPPL_rate,Fair_percent,PPH_days,PMH_days,LBW_percent,smoking_percent ,Obese_percent,Binge_percent,MV_rate,CHL_100000,TeenB_rate,Uninsure_percent,PCP Rate,diab_rate,unemploy_rate,Childpov_percent
01001,Alabama,Autauga,67,27,2,11,1,25,2,36,3,42,3,9,1,8,1,48,3,675,50364,9967,26,5.2,4.1,9.5,27,32,13,28,308,52,16,44,11,8.9,15
01003,Alabama,Baldwin,67,3,1,3,1,4,1,2,1,3,1,12,1,3,1,43,3,2219,174439,8322,13,3.4,4.1,8.8,22,26,17,23,226,50,21,82,10,8.8,15
01005,Alabama,Barbour,67,31,2,48,3,18,2,55,4,49,3,17,1,52,4,21,2,403,29309,9559,24,5.9,3.9,11.4,23,38,8,29,474,80,16,37,14,13.0,32
01007,Alabama,Bibb,67,57,4,53,4,61,4,32,2,61,4,47,3,40,3,2,1,365,21629,13283,18,4.4,5.0,9.9,33,32,9,43,301,64,20,28,11,12.0,25
01009,Alabama,Blount,67,8,1,14,1,5,1,20,2,10,1,63,4,5,1,23,2,756,57441,8475,25,5.5,4.8,7.3,22,32,5,30,105,56,21,22,11,9.1,17
01011,Alabama,Bullock,67,67,4,62,4,66,4,67,4,62,4,52,4,62,4,65,4,214,10796,15433,,5.4,5.9,13.8,,38,4,59,667,89,19,46,15,14.3,38
01013,Alabama,Butler,67,50,3,61,4,57,4,27,2,59,4,65,4,53,4,56,4,384,20090,12652,22,3.9,3.2,10.9,27,37,8,36,617,67,17,45,15,15.2,31
01015,Alabama,Calhoun,67,45,3,28,2,51,4,35,3,48,3,10,1,31,2,17,1,2106,113419,11720,23,5.1,4.8,9.1,27,34,12,28,608,59,16,77,15,10.1,23
01017,Alabama,Chambers,67,54,4,47,3,45,3,62,4,38,3,13,1,60,4,6,1,649,34424,11319,38,4.4,4.8,10.7,20,36,11,27,613,70,15,49,16,18.2,27
01019,Alabama,Cherokee,67,47,3,29,2,52,4,42,3,36,3,40,3,24,2,27,2,466,24545,11753,29,5.8,4.4,9.0,26,32,15,26,155,67,19,25,14,10.7,27
01021,Alabama,Chilton,67,58,4,37,3,55,4,52,4,46,3,34,2,35,3,12,1,709,42444,12243,23,5.4,5.5,10.2,24,35,10,42,255,61,19,30,10,9.6,24
01023,Alabama,Choctaw,67,44,3,44,3,27,2,61,4,35,3,20,2,47,3,63,4,254,14055,10116,30,6.7,4.0,10.8,19,37,6,43,448,56,17,36,15,12.4,29
01025,Alabama,Clarke,67,17,1,55,4,15,1,31,2,47,3,43,3,51,4,45,3,379,26304,9455,28,3.5,2.6,11.3,22,36,13,40,627,54,19,53,14,15.3,29
01027,Alabama,Clay,67,14,1,54,4,11,1,29,2,25,2,66,4,43,3,55,4,233,13809,9201,21,4.7,4.6,9.6,24,32,8,22,492,59,19,36,13,15.3,24
01029,Alabama,Cleburne,67,23,2,26,2,13,1,44,3,8,1,60,4,21,2,60,4,237,14799,9305,26,5.5,5.4,8.8,22,29,10,31,264,69,18,7,11,9.3,22
01031,Alabama,Coffee,67,10,1,10,1,17,1,10,1,22,2,28,2,9,1,35,3,644,47753,9527,21,3.7,4.2,8.8,21,33,14,23,574,53,18,44,12,7.8,23
01033,Alabama,Colbert,67,37,3,22,2,30,2,45,3,55,4,11,1,18,2,19,2,924,54663,10660,23,4.6,4.8,10.7,30,35,7,25,587,54,16,71,14,10.6,20
01035,Alabama,Conecuh,67,55,4,58,4,58,4,39,3,9,1,59,4,61,4,64,4,221,13066,12759,18,4.6,3.9,11.6,19,32,3,51,222,58,16,38,15,18.4,36
01037,Alabama,Coosa,67,52,4,51,4,60,4,25,2,30,2,31,2,55,4,57,4,232,10814,12965,26,3.0,2.5,11.6,,33,5,36,416,53,18,9,13,14.7,24
01039,Alabama,Covington,67,22,2,41,3,41,3,7,1,52,4,54,4,26,2,15,1,680,36856,11183,21,3.3,3.6,9.1,28,34,10,35,209,71,18,65,13,9.9,26
01041,Alabama,Crenshaw,67,30,2,45,3,26,2,40,3,41,3,62,4,23,2,66,4,206,13754,10062,27,5.0,3.9,10.2,,34,,40,451,59,20,15,13,9.6,27
01043,Alabama,Cullman,67,15,1,9,1,19,2,22,2,18,2,24,2,10,1,14,1,1245,81324,9565,20,4.3,4.8,9.1,25,30,6,36,176,56,19,54,12,9.4,20
01045,Alabama,Dale,67,12,1,24,2,16,1,14,1,51,4,35,3,11,1,40,3,715,48292,9477,26,4.4,3.7,8.5,27,34,15,24,555,58,17,27,14,8.8,22
01047,Alabama,Dallas,67,63,4,64,4,63,4,57,4,57,4,5,1,67,4,53,4,888,42867,14265,27,4.2,3.9,12.6,19,40,12,29,1236,83,14,101,16,19.7,44
01049,Alabama,DeKalb,67,18,2,36,3,23,2,26,2,12,1,58,4,42,3,10,1,1054,68515,9930,21,4.4,4.8,9.2,20,32,10,31,153,75,21,35,11,13.1,25
01051,Alabama,Elmore,67,6,1,5,1,7,1,8,1,7,1,32,2,6,1,26,2,1006,78106,8883,19,4.3,3.4,9.0,23,29,11,24,393,53,17,31,10,8.7,15
01053,Alabama,Escambia,67,32,2,43,3,34,2,33,2,45,3,36,3,45,3,8,1,623,37490,10843,24,3.8,3.7,10.9,24,34,5,38,363,69,18,51,12,12.4,32
01055,Alabama,Etowah,67,40,3,17,1,53,4,23,2,43,3,18,2,20,2,9,1,1905,103303,11812,21,4.7,4.4,9.1,28,31,12,24,481,60,16,73,12,10.5,24
01057,Alabama,Fayette,67,56,4,8,1,47,3,60,4,5,1,6,1,30,2,36,3,319,17691,11459,31,6.9,5.4,9.2,20,32,4,36,170,56,16,108,13,13.0,26
01059,Alabama,Franklin,67,49,3,25,2,48,3,51,4,16,1,53,4,32,2,7,1,546,30801,11478,24,7.8,4.7,8.6,,30,6,34,286,76,21,45,13,12.4,28
01061,Alabama,Geneva,67,19,2,30,2,36,3,5,1,24,2,49,3,29,2,33,2,456,25882,10945,25,4.5,3.1,8.0,,32,9,33,193,59,17,27,13,9.8,28
01063,Alabama,Greene,67,64,4,66,4,62,4,63,4,67,4,51,4,63,4,58,4,172,9172,13573,21,4.3,5.7,13.5,,44,,36,763,75,16,44,18,13.5,41
01065,Alabama,Hale,67,41,3,60,4,37,3,47,3,60,4,50,3,56,4,5,1,278,18145,11024,25,4.5,3.6,11.6,,40,7,35,1119,55,17,17,15,12.8,32
01067,Alabama,Henry,67,20,2,33,2,29,2,11,1,15,1,45,3,38,3,52,4,313,16591,10657,19,3.9,3.7,9.5,20,34,3,33,458,53,20,18,14,10.1,26
01069,Alabama,Houston,67,9,1,13,1,8,1,13,1,23,2,4,1,19,2,50,3,1266,98488,9060,21,4.0,4.9,8.3,21,33,11,22,572,59,16,94,12,8.5,24
01071,Alabama,Jackson,67,38,3,39,3,46,3,30,2,50,3,39,3,27,2,32,2,961,53134,11387,23,4.6,4.8,9.2,32,32,6,38,224,56,16,64,12,11.7,23
01073,Alabama,Jefferson,67,29,2,16,1,35,3,19,2,29,2,1,1,25,2,67,4,9898,659503,10876,16,3.5,3.5,11.4,23,31,14,19,882,50,14,155,12,9.8,19
01075,Alabama,Lamar,67,21,2,40,3,9,1,46,3,17,1,61,4,37,3,47,3,245,14295,9098,28,5.6,5.5,8.4,22,31,,36,301,59,18,14,13,14.9,26
01077,Alabama,Lauderdale,67,16,1,4,1,10,1,34,2,2,1,22,2,12,1,1,1,1251,89128,9124,20,4.7,4.0,10.5,19,29,7,24,419,40,18,59,13,9.8,22
01079,Alabama,Lawrence,67,39,3,19,2,40,3,38,3,31,2,41,3,16,1,34,2,582,34166,11174,26,4.3,5.1,9.4,24,33,8,39,328,56,17,32,13,12.5,21
01081,Alabama,Lee,67,2,1,12,1,2,1,3,1,11,1,56,4,4,1,29,2,1254,133010,7578,18,3.4,4.2,8.3,24,30,19,17,398,27,25,58,10,8.4,14
01083,Alabama,Limestone,67,5,1,6,1,6,1,9,1,13,1,30,2,7,1,20,2,971,76135,8681,17,4.1,3.8,9.3,24,29,9,31,277,55,19,39,10,8.9,17
01085,Alabama,Lowndes,67,62,4,65,4,59,4,65,4,66,4,55,4,64,4,38,3,231,12644,12836,36,5.1,4.8,12.4,,41,15,51,775,68,20,8,17,17.6,37
01087,Alabama,Macon,67,61,4,52,4,67,4,18,2,27,2,23,2,59,4,62,4,444,22290,15907,24,3.2,2.2,11.5,14,40,10,28,1032,33,17,32,16,11.2,39
01089,Alabama,Madison,67,4,1,2,1,3,1,6,1,4,1,7,1,2,1,3,1,3598,319510,8117,15,3.6,3.5,9.9,21,31,10,19,440,37,17,97,13,7.2,15
01091,Alabama,Marengo,67,48,3,38,3,33,2,59,4,21,2,29,2,50,3,39,3,369,21055,10715,28,6.3,3.8,11.5,13,38,14,34,869,52,16,52,16,13.1,31
01093,Alabama,Marion,67,35,3,20,2,49,3,17,1,6,1,48,3,33,2,11,1,541,29465,11688,22,4.5,4.5,8.6,,29,3,40,149,66,18,20,12,15.4,27
01095,Alabama,Marshall,67,25,2,27,2,31,2,16,1,37,3,42,3,22,2,25,2,1431,88484,10666,20,4.8,4.5,8.5,30,27,11,28,183,92,21,67,12,9.2,26
