county,state,LE2010,lower_2010,upper_2010,LE2014,lower_2014,upper_2014,percent_change_le,lower_change,upper_change
United States,United States,78.82,78.81,78.84,79.08,79.04,79.11,7.22,7.16,7.27
Alabama,Alabama,75.58,75.51,75.65,75.65,75.57,75.72,4.65,4.48,4.82
Autauga County, Alabama,75.74,75.25,76.25,75.67,75.15,76.18,5.1,3.86,6.43
Baldwin County, Alabama,77.8,77.45,78.14,78.08,77.72,78.43,5.41,4.51,6.26
Barbour County, Alabama,75.34,74.72,75.95,75.42,74.78,76.07,5.46,4.1,6.9
Bibb County, Alabama,74.13,73.48,74.77,73.97,73.28,74.68,3.29,1.83,4.92
Blount County, Alabama,76.41,75.96,76.91,76.16,75.66,76.69,2.91,1.76,4.1
Bullock County, Alabama,73.61,72.8,74.4,73.86,72.92,74.69,5.7,3.62,7.48
Butler County, Alabama,73.63,72.96,74.28,73.39,72.68,74.13,2.41,0.88,3.89
Calhoun County, Alabama,74.11,73.72,74.51,74.02,73.58,74.43,2.42,1.46,3.34
Chambers County, Alabama,74.09,73.54,74.64,74.06,73.48,74.61,2.62,1.41,3.8
Cherokee County, Alabama,75.26,74.68,75.84,75.08,74.45,75.72,3.8,2.33,5.25
Chilton County, Alabama,74.5,73.97,75.04,74.53,74.02,75.08,3.36,2.18,4.64
Choctaw County, Alabama,75.19,74.51,75.92,75.29,74.52,76.03,5.07,3.46,6.67
Clarke County, Alabama,75.29,74.73,75.87,75.46,74.78,76.08,5.88,4.39,7.28
Clay County, Alabama,75.25,74.54,75.93,75.06,74.32,75.79,3.36,1.86,5.06
Cleburne County, Alabama,74.53,73.83,75.17,74.3,73.62,75.04,2.78,1.31,4.3
Coffee County, Alabama,76.5,76.03,76.99,76.48,75.94,76.98,3.19,1.95,4.35
Colbert County, Alabama,75.26,74.77,75.73,75.07,74.57,75.58,2.2,1.13,3.29
Conecuh County, Alabama,74.08,73.35,74.82,74.05,73.25,74.88,3.24,1.55,5.07
Coosa County, Alabama,75.21,74.49,75.97,75.19,74.36,75.99,4.18,2.54,5.88
Covington County, Alabama,75.42,74.93,75.94,75.15,74.59,75.71,3.58,2.41,4.88
Crenshaw County, Alabama,74.47,73.81,75.16,74.07,73.33,74.82,3.03,1.46,4.71
Cullman County, Alabama,75.48,75.07,75.93,75.31,74.86,75.78,1.75,0.85,2.81
Dale County, Alabama,76.33,75.84,76.79,76.26,75.79,76.79,3.29,2.17,4.4
Dallas County, Alabama,72.48,71.98,73.02,72.39,71.83,72.95,2.29,1.08,3.38
DeKalb County, Alabama,75.33,74.86,75.79,75.25,74.77,75.75,2.31,1.3,3.35
Elmore County, Alabama,75.95,75.5,76.43,75.93,75.45,76.41,4.55,3.49,5.7
Escambia County, Alabama,74.3,73.76,74.87,74.15,73.59,74.75,3.41,2.16,4.62
Etowah County, Alabama,73.86,73.41,74.29,73.85,73.44,74.29,1.98,1.06,2.92
Fayette County, Alabama,74.26,73.63,74.93,73.98,73.28,74.71,0.94,-0.52,2.38
Franklin County, Alabama,73.57,73,74.13,73.31,72.65,73.88,1.29,0.03,2.55
Geneva County, Alabama,75.65,75.08,76.22,75.54,74.94,76.15,3.89,2.45,5.25
Greene County, Alabama,74.08,73.25,74.91,74.05,73.2,74.95,5.52,3.63,7.44
Hale County, Alabama,73.93,73.29,74.63,74.01,73.27,74.72,4.22,2.63,5.87
Henry County, Alabama,75.82,75.13,76.46,75.97,75.29,76.67,6.1,4.45,7.67
Houston County, Alabama,76.7,76.26,77.12,76.81,76.37,77.26,5.22,4.24,6.25
Jackson County, Alabama,74.39,73.9,74.86,74.13,73.61,74.63,2.6,1.51,3.74
Jefferson County, Alabama,75.11,74.85,75.36,75.34,75.11,75.59,5.43,4.9,5.93
Lamar County, Alabama,74.93,74.23,75.57,74.83,74.13,75.53,3,1.44,4.55
Lauderdale County, Alabama,76.55,76.14,76.97,76.5,76.06,76.92,2.54,1.65,3.45
Lawrence County, Alabama,74.55,74.02,75.12,74.33,73.75,74.92,2.18,0.94,3.52
Lee County, Alabama,77.17,76.77,77.57,76.52,76.1,76.96,5.13,4.08,6.14
Limestone County, Alabama,77.15,76.7,77.58,77.21,76.73,77.65,5.61,4.6,6.73
Lowndes County, Alabama,72.78,72,73.54,72.57,71.72,73.37,2.77,0.91,4.73
Macon County, Alabama,72.98,72.28,73.69,72.81,72.08,73.54,3.11,1.61,4.76
Madison County, Alabama,77.79,77.44,78.09,78.07,77.76,78.35,6.54,5.83,7.28
Marengo County, Alabama,74.67,74.03,75.27,74.68,73.98,75.39,4.83,3.36,6.37
Marion County, Alabama,74.62,74.04,75.17,74.54,73.93,75.11,1.14,-0.08,2.34
Marshall County, Alabama,74.57,74.11,74.99,74.53,74.07,74.96,2.67,1.71,3.67
Mobile County, Alabama,74.95,74.63,75.25,75.13,74.81,75.43,4.94,4.24,5.61
Monroe County, Alabama,74.9,74.25,75.51,74.97,74.33,75.64,3.96,2.46,5.53
Montgomery County, Alabama,75.93,75.59,76.29,75.83,75.48,76.2,5.97,5.17,6.8
Morgan County, Alabama,75.92,75.52,76.35,76.21,75.77,76.62,3.98,3.09,4.9
Perry County, Alabama,72.55,71.72,73.31,72.31,71.36,73.19,-0.56,-2.29,1.29
Pickens County, Alabama,74.66,74.02,75.29,74.55,73.86,75.21,2.77,1.47,4.18
Pike County, Alabama,74.86,74.28,75.42,74.9,74.26,75.5,3.38,2.08,4.71
Randolph County, Alabama,74.78,74.15,75.37,74.65,74.02,75.3,3.79,2.39,5.26
Russell County, Alabama,73.87,73.34,74.39,74.43,73.87,74.96,7.73,6.53,9.02
Saint Clair County, Alabama,75.35,74.9,75.82,74.98,74.51,75.44,2.6,1.54,3.7
Shelby County, Alabama,79.18,78.83,79.53,79.53,79.2,79.87,8.6,7.74,9.46
Sumter County, Alabama,74.63,73.93,75.4,74.82,74.04,75.6,5.18,3.54,6.74
Talladega County, Alabama,74.23,73.8,74.69,74.29,73.82,74.77,3.77,2.71,4.81
Tallapoosa County, Alabama,74.99,74.46,75.51,75.01,74.46,75.58,4.32,3.15,5.5
Tuscaloosa County, Alabama,75.86,75.49,76.23,75.8,75.41,76.16,3.13,2.32,3.92
Walker County, Alabama,72.12,71.62,72.6,71.57,71.08,72.07,-0.31,-1.38,0.7
Washington County, Alabama,74.82,74.15,75.51,74.82,74.04,75.58,4.25,2.61,5.86
